,artist_id,artist,song,lyrics,year
1,1,21 Savage,Bank Account,"
Ooh, ooh, ooh, ow, ow, ow
Wow, wow, ow, ah, ow, ah, ah, ah


I buy a new car for the bitch (for real)
I tear down the mall with the bitch (for real)
You can't even talk to the bitch (no)
She fucking with bosses and shit (on God)
I pull up in 'Rari's and shit (skrrr)
With choppers and Harley's and shit (for real)
I be Gucci'd down (Gucci)
You wearing Lacoste and shit (bitch)
Yeah, Moncler, yuh, fur came off a bear, yuh (yeah)
Triple homicide, put me in a chair, yuh (in jail)
Triple cross the plug, we do not play fair, yuh (on God)
Got 'em tennis chains on and they real blingy (bling)
Draco make you do the chicken head like Chingy (Chingy)
Walk in Neiman Marcus and I spend a light fifty (fifty)
Please proceed with caution, shooters, they be right with me (21)
Bad bitch, cute face and some nice titties
$7500 on a Saint Laurent jacket (yeah)
Bitch, be careful when you dumpin' your ashes (bitch)
I ain't no sucker, I ain't cuffin' no action (nah)
The skreets raised me, I'm a whole bastard (wild)
I bought a 'Rari just so I can go faster (skrrr)
Niggas tryna copy me, they playin' catch up (21)
I might pull up in a Ghost, no Casper (21)
I been smoking gas and I got no asthma


I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)


Yeah, dawg, huh—yeah—, nah for real, dawg (21)
Straight up out the 6, now got a house in the Hills, dawg (21)
Wanna see a body, nigga? Get you killed, dawg (wet)
Wanna tweet about me, nigga? Get you killed, dawg (wet)
Killed dog, I'm a real dawg—21—, you a lil' dawg (21)
Bill dog, want a bil', dog, chasing mil's, dawg (yeah)
Dunk right in your bitch like O'Neal, dawg (wet)
Plus I shoot like, shoot like Reggie Mill', dawg (21)
Chopper sting you like a eel, dawg (fast)


I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)


Ruler clip—umm—, sent a ruler hit
Pull up on yo' bitch, she say that I got a ruler dick
Spray your block down, we not really with that ruh-rah shit
Glock cocked now, I don't really give no fuck 'bout who I hit
Yeah, yo' bitch, she get jiggy with me, keep that Siggy with me
Bitch, I'm Mad Max, you know I got Ziggy with me
Keep a mad mag in case a nigga wanna get busy with me
'Rari matte black and I got a Bentley with me


I got 1-2-3-4-5-6-7-8 M's in my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
In my bank account, yeah (on God)
I got 1-2-3-4-5-6-7-8 shooters ready to gun you down, yeah (fast)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)
Ready to gun you down, yeah (on God)


$7500 on a Saint Laurent jacket
Bitch, be careful where you dumpin' your ashes
I ain't no sucker, I ain't cuffin' no action
The streets raised me, I'm a whole bastard",2017
2,2,5 Seconds of Summer,She Looks So Perfect,"
Hey-hey, hey-hey, hey-hey, hey
Hey-hey, hey-hey, hey-hey, hey


Simmer down, simmer down
They say we’re too young now to amount to anything else
But look around
We worked too damn hard for this just to give it up now
If you don’t swim, you’ll drown
But don’t move, honey


You look so perfect standing there
In my American Apparel underwear
And I know now that I’m so down
Your lipstick stain is a work of art
I got your name tattooed in an arrow heart
And I know now that I’m so down
Hey
Hey-hey, hey-hey, hey-hey, hey


Let’s get out, let’s get out
'Cause this deadbeat town’s only here just to keep us down
While I was out
I found myself alone just thinking
If I showed up with a plane ticket
And a shiny diamond ring with your name on it
Would you wanna run away too?
'Cause all I really want is you


You look so perfect standing there
In my American Apparel underwear
And I know now that I’m so down
I made a mixtape straight out of ‘94
I’ve got your ripped skinny jeans lying on the floor
And I know now that I’m so down
Hey
Hey-hey, hey-hey, hey-hey, hey


You look so perfect standing there
In my American Apparel underwear
And I know now that I'm so down
Your lipstick stain is a work of art
I got your name tattooed in an arrow heart
And I know now that I’m so down


Hey
Hey-hey, hey-hey, hey-hey, hey
You look so perfect standing there
In my American Apparel underwear
And I know now that I’m so down (Hey)
Your lipstick stain is a work of art
I got your name tattooed in an arrow heart
And I know now that I’m so down
Hey",2014
3,2,5 Seconds of Summer,Amnesia,"
I drove by all the places we used to hang out getting wasted
I thought about our last kiss, how it felt, the way you tasted
And even though your friends tell me you're doing fine
Are you somewhere feeling lonely even though he’s right beside you?
When he says those words that hurt you
Do you read the ones I wrote you?


Sometimes I start to wonder, was it just a lie?
If what we had was real, how could you be fine?
'Cause I'm not fine at all


I remember the day you told me you were leaving
I remember the make-up running down your face
And the dreams you left behind, you didn't need them
Like every single wish we ever made
I wish that I could wake up with amnesia
And forget about the stupid little things
Like the way it felt to fall asleep next to you
And the memories I never can escape
'Cause I'm not fine at all


The pictures that you sent me, they're still living in my phone
I admit I like to see them, I'll admit I feel alone
And all my friends keep asking why I'm not around
It hurts to know you’re happy and it hurts that you moved on
It’s hard to hear your name when I haven't seen you in so long


It’s like we never happened, was it just a lie?
If what we had was real, how could you be fine?
'Cause I'm not fine at all


I remember the day you told me you were leaving
I remember the make-up running down your face
And the dreams you left behind you didn't need them
Like every single wish, we ever made
I wish that I could wake up with amnesia
And forget about the stupid little things
Like the way it felt to fall asleep next to you
And the memories I never can escape


If today I woke up with you right beside me
Like all of this was just some twisted dream
I'd hold you closer than I ever did before
And you'd never slip away
And you'd never hear me say


I remember the day you told me you were leaving
I remember the make-up running down your face
And the dreams you left behind you didn't need them
Like every single wish, we ever made
I wish that I could wake up with amnesia
And forget about the stupid little things
Like the way it felt to fall asleep next to you
And the memories I never can escape


'Cause I'm not fine at all
No, I'm really not fine at all
Tell me this is just a dream
'Cause I'm really not fine at all",2014
4,2,5 Seconds of Summer,Youngblood,"
Remember the words you told me
""Love me 'til the day I die""
Surrender my everything
'Cause you made me believe you're mine
Yeah, you used to call me baby
Now you're calling me by name
Takes one to know one, yeah
You beat me at my own damn game


You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take


Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh


Lately our conversations
End like it's the last goodbye
Then one of us gets too drunk
And calls about a hundred times
So, who you been calling baby?
Nobody could take my place
When you’re looking at those strangers
Hope to God you see my face


Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh


You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take
You're running around and I'm running away
Running away from you, mmm, from you


Youngblood
Say you want me, say you want me out of your life
And I'm just a dead man walking tonight
But you need it, yeah, you need it all of the time
Yeah, ooh, ooh, ooh
Youngblood
Say you want me, say you want me back in your life
So I’m just a dead man crawling tonight
'Cause I need it, yeah, I need it all of the time
Yeah, ooh, ooh, ooh


You push and you push and I'm pulling away
Pulling away from you
I give and I give and I give and you take
Give and you take
Youngblood
Say you want me
Say you want me out of your life
And I'm just a dead man walking tonight",2018
5,3,"6ix9ine, Nicki Minaj & Murda Beatz",Fefe,"
It's fuckin' TR3YWAY!
King of New York, lookin' for the Queen
Uh, you got the right one, hmm
L-let these-l-let these b-b-bitches know, nigga
Queens, Brooklyn, brrr, ah!
Murda on the beat so it's not nice!


Pussy got that wet, wet, got that drip, drip
Got that super soaker, hit that
She a Fefe, her name Keke
She eat my dick like it's free, free
I don't even know like ""Why I did that?""
I don't even know like ""Why I hit that?""
All I know is that I just can't wife that
Talk to her nice so she won't fight back
Turn around and hit it from the back, back, back
Bend her down then I make it clap, clap, clap


I don't really want no friends
I don't really want no friends, no


Draco got that kick-back when I blow that, they all do track
They don't shoot back, one shot, close range, red dot
Head tight, yeah, I did that, yeah, I live that
Call a Uber with my shooter, with a Ruger, we gon' do ya
Niggas say they killin' people, but I really fuckin' do it


I don't really want no friends
I don't really want no friends, no


He-he tryna 69 like Tekashi, call him papi
Word to A$AP, keep me Rocky, I'm from New York, so I'm cocky
Say he fuckin' with my posse, copped me Khloé like Kardashi'
Keep this pussy in Versace, said I'm pretty like Tinashe
Put-put it all up in his face, did I catch a case?
Pussy game just caught a body, but I never leave a trace
Face is pretty, ass for days, I get chips, I ask for Lay's
I just sit back and when he done, I be like, ""Yo, how'd it taste?""
(Yo, how'd it taste?)


I don't really want no friends
I don't really want no friends, no


Ayo, Draco got that kick-back
When it kick-back, you can't get yo shit back
In fact this that bitch that
""I hate small talk, I don't fuck with chit-chat""
AC just stopped workin'
So they hit me, told me bring my wrist back
Come through rockin' fashions
That got all these bitches like ""Yo, what's that?""
(Like ""Yo, what's that?"")


I don't really want no friends
I don't really want no friends, no


Eeny, meeny, miny, moe
I catch a ho right by her toe
If she ain't fuckin' me and Nicki
Kick that ho right through the door (TR3YWAY)
I don't really want no friends, my old ho just bought this Benz
Nicki just hopped in this shit, now I won't see that bitch again
Eeny, meeny, miny, moe (no)
I catch a ho right by her toe (no)
If she ain't fuckin' me and Nicki
Kick that ho right through the door (no, TR3YWAY)


Mmm, Young Money, Young Money bunny
Colorful hair, don't care
I don't really want no friends
I don't really want no friends, no
I don't really want no friends
I don't really want no friends, no
Scum Gang!",2018
6,4,A Great Big World & Christina Aguilera,Say Something,"
Say something, I'm giving up on you
I'll be the one, if you want me to
Anywhere, I would've followed you
Say something, I'm giving up on you


And I... am feeling so small
It was over my head
I know nothing at all


And I will stumble and fall
I'm still learning to love
Just starting to crawl


Say something, I'm giving up on you
I'm sorry that I couldn't get to you
Anywhere, I would've followed you
Say something, I'm giving up on you


And I will swallow my pride
You're the one that I love
And I'm saying goodbye


Say something, I'm giving up on you
And I'm sorry that I couldn't get to you
And anywhere, I would've followed you, oh-oh
Say something, I'm giving up on you


Say something, I'm giving up on you
Say something...",2014
7,5,Adam Lambert,Ghost Town,"
Died last night in my dreams
Walking the streets
Of some old ghost town
I tried to believe
In God and James Dean
But Hollywood sold out
Saw all of the saints
Lock up the gates
I could not enter
Walked into the flames
Called out your name
But there was no answer


And now I know my heart is a ghost town
My heart is a ghost town
My heart is a ghost town
My heart is a ghost town


Died last night in my dreams
All the machines
Had been disconnected
Time was thrown at the wind
And all of my friends
Had been disaffected
Now, I'm searching for trust
In a city of rust
A city of vampires
Tonight, Elvis is dead
And everyone's spread
And love is a satire


And now I know my heart is a ghost town
My heart is a ghost town
Ooh, my heart is a ghost town
My heart is a ghost town


There's no one left in the world
I'm gunslingin'
Don't give a fuck if I go
Down, down, down
I got a voice in my head that keeps singing
Oh, my heart is a ghost town


Ooh, my heart is a ghost town
Oh, my heart is a ghost town
(Said, my heart)
My heart is a ghost town
My heart is a ghost town",2015
8,6,Adele,Hello,"
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet


There's such a difference between us
And a million miles


Hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?


It's no secret that the both of us
Are running out of time


So hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore


Hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


",2015
9,6,Adele,Hello,"
Hello, it's me
I was wondering if after all these years you'd like to meet
To go over everything
They say that time's supposed to heal ya, but I ain't done much healing
Hello, can you hear me?
I'm in California dreaming about who we used to be
When we were younger and free
I've forgotten how it felt before the world fell at our feet


There's such a difference between us
And a million miles


Hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


Hello, how are you?
It's so typical of me to talk about myself, I'm sorry
I hope that you're well
Did you ever make it out of that town where nothing ever happened?


It's no secret that the both of us
Are running out of time


So hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Ooh, anymore
(Highs, highs, highs, highs, lows, lows, lows, lows)
Anymore


Hello from the other side
I must've called a thousand times
To tell you, I'm sorry for everything that I've done
But when I call, you never seem to be home
Hello from the outside
At least, I can say that I've tried
To tell you, I'm sorry for breaking your heart
But it don't matter, it clearly doesn't tear you apart anymore


",2016
10,6,Adele,Send My Love (To Your New Lover),"
Just the guitar?
Okay, cool


This was all you, none of it me
You put your hands on, on my body and told me
Mmm, told me you were ready
For the big one, for the big jump
I'd be your last love, everlasting, you and me
Mmm, that was what you told me


I'm giving you up
I've forgiven it all
You set me free


Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more


I was too strong, you were trembling
You couldn't handle the hot heat rising (rising)
Mmm, baby, I'm still rising
I was running, you were walking
You couldn't keep up, you were falling down (down)
Mmm, there's only one way down


I'm giving you up
I've forgiven it all
You set me free, oh


Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more


If you're ready, if you're ready
If you're ready, I am ready
If you're ready, if you're ready
We both know we ain't kids no more
No, we ain't kids no more


I'm giving you up
I've forgiven it all
You set me free


Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more
Send my love to your new lover
Treat her better
We've gotta let go of all of our ghosts
We both know we ain't kids no more


If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more
If you're ready, if you're ready
(Send my love to your new lover)
If you're ready, are you ready?
(Treat her better)
We've gotta let go of all of our ghosts
We both know we ain't kids no more",2016
