,Unnamed: 0,year,position,artist,song,lyrics
0,1,2014,1,Pharrell Williams,Happy,"['Pharrell Williams', 'Happy', ""\n\n\nIt might seem crazy what I'm 'bout to say\nSunshine she's here, you can take a break\nI'm a hot air balloon that could go to space\nWith the air, like I don't care, baby, by the way\n\n\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do\n\n\nHere come bad news, talking this and that (Yeah!)\nWell, give me all you got, don't hold it back (Yeah!)\nWell, I should probably warn ya, I'll be just fine (Yeah!)\nNo offense to you, don’t waste your time, here's why\n\n\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do\n\n\nBring me down\nCan't nothing bring me down\nMy level's too high to bring me down\nCan't nothing bring me down, I said\nBring me down\nCan't nothing bring me down\nMy level's too high to bring me down\nCan't nothing bring me down, I said\n\n\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do\n\n\nBring me down\nCan't nothing bring me down\nMy level's too high to bring me down\nCan't nothing bring me down, I said...\n\n\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do\n(Because I'm happy)\nClap along if you feel like a room without a roof\n(Because I'm happy)\nClap along if you feel like happiness is the truth\n(Because I'm happy)\nClap along if you know what happiness is to you\n(Because I'm happy)\nClap along if you feel like that's what you wanna do""]"
1,2,2014,2,John Legend,All Of Me,"['John Legend', 'All Of Me', ""\nWhat would I do without your smart mouth?\nDrawin' me in and you kickin' me out\nYou've got my head spinnin', no kiddin'\nI can't pin you down\nWhat's goin' on in that beautiful mind?\nI'm on your magical mystery ride\nAnd I'm so dizzy, don't know what hit me\nBut I'll be alright\n\n\nMy head's under water, but I'm breathing fine\nYou're crazy and I'm out of my mind\n\n\n'Cause all of me\nLoves all of you\nLove your curves and all your edges\nAll your perfect imperfections\nGive your all to me\nI'll give my all to you\nYou're my end and my beginnin'\nEven when I lose, I'm winnin'\n\n\n'Cause I give you all of me\nAnd you give me all of you, oh-oh\n\n\nHow many times do I have to tell you?\nEven when you're crying, you're beautiful too\nThe world is beating you down, I'm around\nThrough every mood\nYou're my downfall, you're my muse\nMy worst distraction, my rhythm and blues\nI can't stop singing, it's ringing\nIn my head for you\n\n\nMy head's under water, but I'm breathin' fine\nYou're crazy and I'm out of my mind\n\n\n'Cause all of me\nLoves all of you\nLove your curves and all your edges\nAll your perfect imperfections\nGive your all to me\nI'll give my all to you\nYou're my end and my beginnin'\nEven when I lose, I'm winnin'\n\n\n'Cause I give you all of me\nAnd you give me all of you, oh-oh\n\n\nGive me all of you, oh\nCards on the table, we're both showing hearts\nRisking it all, though it's hard\n\n\n'Cause all of me\nLoves all of you\nLove your curves and all your edges\nAll your perfect imperfections\nGive your all to me\nI'll give my all to you\nYou're my end and my beginnin'\nEven when I lose, I'm winnin'\n\n\n'Cause I give you all of me\nAnd you give me all of you\n\n\nI give you all of me\nAnd you give me all of you, oh-oh""]"
2,3,2014,3,Katy Perry,Dark Horse,"['Katy Perry', 'Dark Horse', ""\nYeah, ya'll know what it is\nKaty Perry, Juicy J\nUh huh, let's rage!\n\n\nI knew you were, you were gonna come to me\nAnd here you are, but you better choose carefully\n'Cause I, I'm capable of anything\nOf anything, and everything\nMake me your Aphrodite\nMake me your one and only\nBut don't make me your enemy (enemy)\nYour enemy (your enemy), your enemy\n\n\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\n'Cause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n\nMark my words, this love will make you levitate\nLike a bird, like a bird without a cage\nWe're down to earth if you choose to walk away\nDon't walk away (walk away)\nIt's in the palm of your hand now, baby\nIt's a yes or a no, no maybe\nSo just be sure before you give it all to me\nAll to me, give it all to me\n\n\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for\nBaby, do you dare to do this?\nCause I'm coming at you like a dark horse\nAre you ready for, ready for\nA perfect storm, perfect storm?\n'Cause once you're mine, once you're mine\nThere's no going back\n\n\nShe's a beast, I call her Karma (come back)\nShe eat your heart out like Jeffrey Dahmer (Woo!)\nBe careful, try not to lead her on\nShawty's heart is on steroids, 'cause her love is so strong\nYou may fall in love when you meet her (meet her)\nIf you get the chance, you better keep her (keep her)\nShe's sweet as pie, but if you break her heart\nShe turn cold as a freezer (freezer)\nThat fairy tale ending with a knight in shining armor\nShe can be my sleeping beauty, I'm gon' put her in a coma (Woo!)\nDamn, I think I love her, shawty's so bad, I'm sprung and I don't care\nShe ride me like a roller coaster, turn the bedroom into a fair (a fair)\nHer love is like a drug, I was tryna hit it and quit it\nBut lil mama so dope, I messed around and got addicted\n\n\nSo you wanna play with magic?\nBoy, you should know what you're fallin' for (you should know)\nBaby, do you dare to do this?\n'Cause I'm coming at you like a dark horse (like a dark horse)\nAre you ready for, ready for (ready for)\nA perfect storm, perfect storm? (a perfect storm)\n'Cause once you're mine, once you're mine\nThere's no going back\n\n\n""]"
3,4,2014,4,Clean Bandit & Jess Glynne,Rather Be,"['Clean Bandit & Jess Glynne', 'Rather Be', ""\nWe're a thousand miles from comfort\nWe have travelled land and sea\nBut as long as you are with me\nThere's no place I'd rather be\nI would wait forever\nExulted in the scene\nAs long as I am with you\nMy heart continues to beat\n\n\nWith every step we take, Kyoto to The Bay\nStrollin' so casually\nWe're different and the same, gave you another name\nSwitch up the batteries\n\n\nIf you gave me a chance I would take it\nIt's a shot in the dark, but I'll make it\nKnow with all of your heart, you can't shake me\nWhen I am with you, there's no place I'd rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nOoooh\n\n\nWe staked out on a mission to find our inner peace\nMake it everlasting so nothing's incomplete\nIt's easy bein' with you, sacred simplicity\nAs long as we're together, there's no place I'd rather be\n\n\nWith every step we take, Kyoto to The Bay\nStrollin' so casually\nWe're different and the same, gave you another name\nSwitch up the batteries\n\n\nIf you gave me a chance I would take it\nIt's a shot in the dark, but I'll make it\nKnow with all of your heart, you can't shake me\nWhen I am with you, there's no place I'd rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nWhen I am with you, there's no place I'd rather be\n\n\nHmmmmmmmmmm, hoooooooooo\nBe, be, be, be, be, be, be, be, be\nYeah-e-yeah-e-yeah-e-yeah-e-yeah, yeah, yeah\n\n\nIf you gave me a chance I would take it\nIt's a shot in the dark, but I'll make it\nKnow with all of your heart, you can't shake me\nWhen I am with you, there's no place I'd rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nN-n-n-no, no, no, no place I rather be\nWhen I am with you, there's no place I'd rather be""]"
4,5,2014,5,Sam Smith,Stay With Me,"['Sam Smith', 'Stay With Me', ""\nGuess it's true, I'm not good at a one-night stand\nBut I still need love 'cause I'm just a man\nThese nights never seem to go to plan\nI don't want you to leave, will you hold my hand?\n\n\nOh, won't you stay with me?\n'Cause you're all I need\nThis ain't love, it's clear to see\nBut darling, stay with me\n\n\nWhy am I so emotional?\nNo, it's not a good look, gain some self-control\nAnd deep down I know this never works\nBut you can lay with me so it doesn't hurt\n\n\nOh, won't you stay with me?\n'Cause you're all I need\nThis ain't love, it's clear to see\nBut darling, stay with me\nOooh, oooh\nOooh, oooh\n\n\nOh, won't you stay with me?\n'Cause you're all I need\nThis ain't love, it's clear to see\nBut darling, stay with me\n\n\nOh, won't you stay with me?\n'Cause you're all I need\nThis ain't love, it's clear to see\nBut darling, stay with me""]"
5,6,2014,6,Pitbull & Ke$ha,Timber,"['Pitbull & Ke$ha', 'Timber', ""\nIt's going down, I'm yelling timber\nYou better move, you better dance\nLet's make a night you won't remember\nI'll be the one you won't forget\n(It's going down)\n\n\nThe bigger they are, the harder they fall\nThis biggity boy's a diggity dog\nI have ‘em like Miley Cyrus, clothes off\nTwerking in their bras and thongs, timber\nFace down, booty up, timber\nThat's the way we like the what, timber\nI'm slicker than an oil spill\nShe say she won't, but I bet she will, timber\n\n\nSwing your partner round and round\nEnd of the night, it's going down\nOne more shot, another round\nEnd of the night, it's going down\nSwing your partner round and round\nEnd of the night, it's going down\nOne more shot, another round\nEnd of the night, it's going down\n\n\nIt's going down, I'm yelling timber\nYou better move, you better dance\nLet's make a night you won't remember\nI'll be the one you won't forget\nIt's going down (It's going down), I'm yelling timber\nYou better move (You better move), you better dance (you better dance)\nLet's make a night you won't remember\nI'll be the one you won't forget\n(You won't forget)\n\n\nLook up in the sky, it's a bird, it's a plane\nNah, it's just me, ain't a damn thing changed\nLive in hotels, swing on planes\nBlessed to say, money ain't a thing\nClub jumping like Lebron, now Voli\nOrder me another round, homie\nWe about to climb, why, ‘cause it's about to go down\n\n\nSwing your partner round and round\nEnd of the night, it's going down\nOne more shot, another round\nEnd of the night, it's going down\nSwing your partner round and round\nEnd of the night, it's going down\nOne more shot, another round\nEnd of the night, it's going down\n\n\nIt's going down, I'm yelling timber\nYou better move, you better dance\nLet's make a night you won't remember\nI'll be the one you won't forget\nIt's going down (It's going down), I'm yelling timber\nYou better move, you better dance (You better dance)\nLet's make a night (Let's make a night) you won't remember\nI'll be the one (I'll be the one) you won't forget\n(You won't forget)\nHey!\n(It's going down)\nHo!\n(It's going down)\nTimber!\nC'mon!\n(It's going down) It's going down\nTimber!\nYou will not forget\nTimber""]"
6,7,2014,7,OneRepublic,Counting Stars,"['OneRepublic', 'Counting Stars', ""\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be counting stars\nYeah, we'll be counting stars\n\n\nI see this life, like a swinging vine\nSwing my heart across the line\nAnd in my face is flashing signs\nSeek it out and ye' shall find\nOld, but I'm not that old\nYoung, but I'm not that bold\nAnd I don't think the world is sold\nOn just doing what we're told\n\n\nI-I-I-I feel something so right\nDoing the wrong thing\nI-I-I-I feel something so wrong\nDoing the right thing\nI couldn't lie, couldn't lie, couldn't lie\nEverything that kills me makes me feel alive\n\n\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be counting stars\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be, we'll be counting stars\n\n\nI feel the love and I feel it burn\nDown this river, every turn\nHope is our four-letter word\nMake that money, watch it burn\nOld, but I'm not that old\nYoung, but I'm not that bold\nAnd I don't think the world is sold\nOn just doing what we're told\n\n\nI-I-I-I feel something so wrong\nDoing the right thing\nI couldn't lie, couldn't lie, couldn't lie\nEverything that drowns me makes me wanna fly\n\n\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be counting stars\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be, we'll be counting stars\n\n\nTake that money\nWatch it burn\nSink in the river\nThe lessons I learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I learned\n\n\nEverything that kills me\nMakes me feel alive\n\n\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be counting stars\nLately, I've been, I've been losing sleep\nDreaming about the things that we could be\nBut baby, I've been, I've been praying hard\nSaid no more counting dollars\nWe'll be, we'll be counting stars\n\n\nTake that money\nWatch it burn\nSink in the river\nThe lessons I've learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I've learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I've learned\nTake that money\nWatch it burn\nSink in the river\nThe lessons I've learned""]"
7,8,2014,8,Meghan Trainor,All About That Bass,"['Meghan Trainor', 'All About That Bass', ""\nBecause you know I'm all about that bass\n'Bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass\n\n\nYeah, it's pretty clear, I ain't no size two\nBut I can shake it, shake it, like I'm supposed to do\n'Cause I got that boom boom that all the boys chase\nAnd all the right junk in all the right places\nI see the magazines working that Photoshop\nWe know that shit ain't real, come on now, make it stop\nIf you got beauty beauty just raise 'em up\n'Cause every inch of you is perfect from the bottom to the top\n\n\nYeah, my momma she told me don't worry about your size\nShe says, boys like a little more booty to hold at night\n(That booty, booty, uh, that booty booty)\nYou know I won't be no stick-figure, silicone Barbie doll\nSo, if that's what's you're into then go ahead and move along\n\n\nBecause you know I'm all about that bass\n'Bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass\n\n\nHey, I'm bringing booty back\nGo ahead and tell them skinny bitches that\nNo, I'm just playing I know you think you're fat\nBut I'm here to tell you\nEvery inch of you is perfect from the bottom to the top\n\n\nYeah, my momma she told me don't worry about your size\nShe says, boys like a little more booty to hold at night\n(That booty, booty, uh, that booty booty)\nYou know I won't be no stick-figure, silicone Barbie doll\nSo, if that's what's you're into then go ahead and move along\n\n\nBecause you know I'm all about that bass\n'Bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass\nBecause you know I'm all about that bass\n'Bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass\nBecause you know I'm all about that bass\n'Bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass, no treble\nI'm all 'bout that bass, 'bout that bass\n\n""]"
8,9,2014,9,Iggy Azalea & Charli XCX,Fancy,"['Iggy Azalea & Charli XCX', 'Fancy', ""\nFirst things first, I'm the realest (Realest)\nDrop this and let the whole world feel it (Let 'em feel it)\nAnd I'm still in the Murda Bizness\nI can hold you down, like I'm giving lessons in physics (Right, right?)\nYou should want a bad bitch like this (Huh?)\nDrop it low and pick it up just like this (Yeah)\nCup of Ace, cup of Goose, cup of Cris\nHigh heels, something worth a half a ticket on my wrist (On my wrist)\nTaking all the liquor straight, never chase that (Never)\nRooftop like we bringing '88 back (What?)\nBring the hooks in, where the bass at?\nChampagne spilling, you should taste that\n\n\nI'm so fancy, you already know\nI'm in the fast lane, from L.A. to Tokyo\nI'm so fancy, can't you taste this gold?\nRemember my name, 'bout to blow-oh-oh-oh\n\n\nI said baby, I do this, I thought that you knew this\nCan't stand no haters, and honest, the truth is\nThat my flow retarded, each beat dear, departed\nSwagger on stupid, I can't shop in no department\nAnd get my money on time, if they got money, decline\nAnd swear I meant that there so much that I give that line a rewind\nSaid I get my money on time, if they got money, decline\nI just can't worry 'bout no haters, gotta stay on my grind\nNow tell me, who that, who that? That do that, do that?\nPut that paper over all, I thought you knew that, knew that\nI be that I-G-G-Y, put my name in bold\nI been working, I'm up in here with some change to throw\n\n\nI'm so fancy, you already know\nI'm in the fast lane, from L.A. to Tokyo\nI'm so fancy, can't you taste this gold?\nRemember my name, 'bout to blow-oh-oh-oh\n\n\nTrash the hotel, let's get drunk on the minibar\nMake the phone call, feels so good getting what I want\nYeah, keep on turning it up\nChandelier swinging, we don't give a fuck\nFilm star, yeah, I’m deluxe\nClassic, expensive, you don't get to touch, ow!\n\n\nStill stunting, how you love that?\nGot the whole world asking how I does that\nHot girl, hands off, don't touch that\nLook at it, I bet you wishing you could clutch that\nThat's just the way you like it, huh?\nIt's so good, he just wishing he could bite it, huh?\nNever turn down nothing\nSlayin' these hoes, gold trigger on the gun like\n\n\nI'm so fancy, you already know\nI'm in the fast lane, from L.A. to Tokyo\nI'm so fancy, can't you taste this gold?\nRemember my name, 'bout to blow-oh-oh-oh\n\n\nWho that, who that? I-G-G-Y\nThat do that, do that, I-G-G-Y\nWho that, who that? I-G-G-Y\n(Blow-oh-oh-oh)\nWho that, who that? I-G-G-Y\nThat do that, do that, I-G-G-Y\nWho that, who that? I-G-G-Y\n(Blow-oh-oh-oh)""]"
9,10,2014,10,Magic!,Rude,"['Magic!', 'Rude', '\nSaturday mornin\', jumped outta bed and put on my best suit\nGot in my car and raced like a jet all the way to you\nKnocked on your door with heart in my hand to ask you a question\n\'Cause I know that you\'re an old-fashioned man, yeah (yeah)\n\n\nCan I have your daughter for the rest of my life?\nSay yes, say yes \'cause I need to know\nYou say I\'ll never get your blessin\' till the day I die\n""Tough luck, my friend, but the answer is no!""\n\n\nWhy you gotta be so rude?\nDon\'t you know I\'m human too?\nWhy you gotta be so rude?\nI\'m gonna marry her anyway (marry that girl)\nMarry her anyway (marry that girl)\nYeah, no matter what you say (marry that girl)\nAnd we\'ll be a family\nWhy you gotta be so rude?\n\n\nI hate to do this, you leave no choice, can\'t live without her\nLove me or hate me, we will be boys, standin\' at that altar\nOr we will run away to another galaxy, you know\nYou know she\'s in love with me, she will go anywhere I go\n\n\nCan I have your daughter for the rest of my life?\nSay yes, say yes \'cause I need to know\nYou say I\'ll never get your blessin\' till the day I die\n""Tough luck, my friend, cause the answer\'s still no!""\n\n\nWhy you gotta be so rude?\nDon\'t you know I\'m human too?\nWhy you gotta be so rude?\nI\'m gonna marry her anyway (marry that girl)\nMarry her anyway (marry that girl)\nYeah, no matter what you say (marry that girl)\nAnd we\'ll be a family\nWhy you gotta be so rude? Yeah (so rude)\n\n\nCan I have your daughter for the rest of my life?\nSay yes, say yes \'cause I need to know\nYou say I\'ll never get your blessin\' till the day I die\n""Tough luck, my friend, but no still means no!""\n\n\nWhy you gotta be so rude?\nDon\'t you know I\'m human too?\nWhy you gotta be so rude?\nI\'m gonna marry her anyway (marry that girl)\nMarry her anyway (marry that girl)\nYeah, no matter what you say (marry that girl)\nAnd we\'ll be a family\nWhy you gotta be so rude?\nWhy, why, why, why? (Say)\nSay, why you gotta be so rude?']"
