,year,position,artist,song
1,2014,1,Pharrell Williams,Happy
2,2014,2,John Legend,All Of Me
3,2014,3,Katy Perry,Dark Horse
4,2014,4,Clean Bandit & Jess Glynne,Rather Be
5,2014,5,Sam Smith,Stay With Me
6,2014,6,Pitbull & Ke$ha,Timber
7,2014,7,OneRepublic,Counting Stars
8,2014,8,Meghan Trainor,All About That Bass
9,2014,9,Iggy Azalea & Charli XCX,Fancy
10,2014,10,Magic!,Rude
11,2014,11,Nico & Vinz,Am I Wrong
12,2014,12,Sia,Chandelier
13,2014,13,Calvin Harris,Summer
14,2014,14,Mr Probz,Waves
15,2014,15,Ariana Grande & Iggy Azalea,Problem
16,2014,16,DJ Snake & Lil' Jon,Turn Down For What
17,2014,17,Taylor Swift,Shake It Off
18,2014,18,Jason Derulo & 2 Chainz,Talk Dirty
19,2014,19,Bastille,Pompeii
20,2014,20,Coldplay,A Sky Full Of Stars
21,2014,21,Imagine Dragons,Demons
22,2014,22,Avicii,Wake Me Up
23,2014,23,Idina Menzel,Let It Go
24,2014,24,Avicii,"Hey, Brother"
25,2014,25,Jason Derulo & Snoop Dogg,Wiggle
26,2014,26,Lorde,Team
27,2014,27,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang
28,2014,28,Ed Sheeran,Sing
29,2014,29,Milky Chance,Stolen Dance
30,2014,30,Maroon 5,Maps
31,2014,31,Iggy Azalea & Rita Ora,Black Widow
32,2014,32,Rihanna & Eminem,The Monster
33,2014,33,Chris Brown & Lil' Wayne,Loyal
34,2014,34,A Great Big World & Christina Aguilera,Say Something
35,2014,35,Passenger,Let Her Go
36,2014,36,American Authors,Best Day Of My Life
37,2014,37,Ed Sheeran,Don't
38,2014,38,Enrique Iglesias,Bailando
39,2014,39,Tove Lo & Hippie Sabotage,Habits (Stay High)
40,2014,40,Ariana Grande & Zedd,Break Free
41,2014,41,Vance Joy,Riptide
42,2014,42,Charli XCX,Boom Clap
43,2014,43,OneRepublic,Love Runs Out
44,2014,44,One Direction,Story Of My Life
45,2014,45,Beyonce & Jay-Z,Drunk In Love
46,2014,46,Lorde,Royals
47,2014,47,Jason Derulo,Trumpets
48,2014,48,Disclosure & Sam Smith,Latch
49,2014,49,Kiesza,Hideaway
50,2014,50,Helene Fischer,Atemlos durch die Nacht
51,2014,51,Jeremih & YG,Don't Tell 'Em
52,2014,52,Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Remix)
53,2014,53,Martin Garrix,Animals
54,2014,54,Michael Jackson & Justin Timberlake,Love Never Felt So Good
55,2014,55,Calvin Harris & John Newman,Blame
56,2014,56,Aloe Blacc,The Man
57,2014,57,Ed Sheeran,I See Fire
58,2014,58,Ellie Goulding,Burn
59,2014,59,Kid Ink & Chris Brown,Show Me
60,2014,60,George Ezra,Budapest
61,2014,61,Hozier,Take Me To Church
62,2014,62,Nicki Minaj,Anaconda
63,2014,63,Katy Perry,Roar
64,2014,64,Imagine Dragons,Radioactive
65,2014,65,Shakira & Rihanna,Can't Remember To Forget You
66,2014,66,Justin Timberlake,Not A Bad Thing
67,2014,67,Coldplay,Magic
68,2014,68,Maroon 5,Animals
69,2014,69,David Guetta & Sam Martin,Lovers On The Sun
70,2014,70,Sam Smith,I'm Not The Only One
71,2014,71,Ella Henderson,Ghost
72,2014,72,Miley Cyrus,Wrecking Ball
73,2014,73,MKTO,Classic
74,2014,74,Trey Songz,Na Na
75,2014,75,Klingande,Jubel
76,2014,76,Avicii,Addicted To You
77,2014,77,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines
78,2014,78,5 Seconds of Summer,She Looks So Perfect
79,2014,79,Florida Georgia Line,This Is How We Roll
80,2014,80,Ed Sheeran,Thinking Out Loud
81,2014,81,Paramore,Ain't It Fun
82,2014,82,Faul & Wad Ad vs. Pnau,Changes
83,2014,83,Rixton,Me & My Broken Heart
84,2014,84,Echosmith,Cool Kids
85,2014,85,Andreas Bourani,Auf uns
86,2014,86,Mark Forster & Sido,Au revoir
87,2014,87,Katy Perry,Birthday
88,2014,88,Becky G,Shower
89,2014,89,Route 94 & Jess Glynne,My Love
90,2014,90,Bobby Shmurda,Hot Boy
91,2014,91,Pitbull & John Ryan,Fireball
92,2014,92,John Newman,Love Me Again
93,2014,93,Katy Perry,This Is How We Do
94,2014,94,Drake & Majid Jordan,"Hold On, We're Going Home"
95,2014,95,Sigma,Nobody To Love
96,2014,96,Sam Smith,Money On My Mind
97,2014,97,Brantley Gilbert,Bottoms Up
98,2014,98,Naughty Boy & Sam Smith,La La La
99,2014,99,David Guetta & Sam Martin,Dangerous
100,2014,100,5 Seconds of Summer,Amnesia
101,2015,1,Mark Ronson & Bruno Mars,Uptown Funk
102,2015,2,OMI,Cheerleader
103,2015,3,Ed Sheeran,Thinking Out Loud
104,2015,4,Wiz Khalifa & Charlie Puth,See You Again
105,2015,5,Major Lazer & DJ Snake,Lean On
106,2015,6,Ellie Goulding,Love Me Like You Do
107,2015,7,Maroon 5,Sugar
108,2015,8,Walk the Moon,Shut Up & Dance
109,2015,9,Hozier,Take Me To Church
110,2015,10,Fetty Wap,Trap Queen
111,2015,11,Jason Derulo,Want To Want Me
112,2015,12,The Weeknd,Earned It (Fifty Shades Of Grey)
113,2015,13,The Weeknd,Can't Feel My Face
114,2015,14,The Weeknd,The Hills
115,2015,15,Ed Sheeran,Photograph
116,2015,16,Skrillex & Diplo,Where Are U Now
117,2015,17,Taylor Swift,Blank Space
118,2015,18,"Rihanna, Kanye West & Paul McCartney",FourFiveSeconds
119,2015,19,Justin Bieber,What Do You Mean?
120,2015,20,"David Guetta, Nicki Minaj & Afrojack",Hey Mama
121,2015,21,Taylor Swift,Shake It Off
122,2015,22,Silento,Watch Me
123,2015,23,Fifth Harmony & Kid Ink,Worth It
124,2015,24,Flo-Rida & Sage The Gemini,G.D.F.R
125,2015,25,R City & Adam Levine,Locked Away
126,2015,26,Calvin Harris & Disciples,How Deep Is Your Love?
127,2015,27,Sia,Elastic Heart
128,2015,28,Taylor Swift & Kendrick Lamar,Bad Blood
129,2015,29,Lost Frequencies,Are You With Me
130,2015,30,Selena Gomez & ASAP Rocky,Good For You
131,2015,31,Rachel Platten,The Fight Song
132,2015,32,Drake,Hotline Bling
133,2015,33,Sam Smith,I'm Not The Only One
134,2015,34,Meghan Trainor,All About That Bass
135,2015,35,Meghan Trainor,Lips Are Movin
136,2015,36,Taylor Swift,Style
137,2015,37,Pitbull & Ne-Yo,Time Of Our Lives
138,2015,38,Shawn Mendes,Stitches
139,2015,39,Fetty Wap & Remy Boyz,679
140,2015,40,Felix Jaehn & Jasmine Thompson,Ain't Nobody (Loves Me Better)
141,2015,41,Adele,Hello
142,2015,42,Nicky Jam & Enrique Iglesias,El Perdon (Forgiveness)
143,2015,43,Sam Smith,Stay With Me
144,2015,44,Sia,Chandelier
145,2015,45,Rihanna,Bitch Better Have My Money
146,2015,46,Calvin Harris & Ellie Goulding,Outside
147,2015,47,Omarion & Chris Brown & Jhene Aiko,Post To Be
148,2015,48,Charlie Puth & Meghan Trainor,Marvin Gaye
149,2015,49,Kygo & Conrad,Firestone
150,2015,50,Natalie La Rose & Jeremih,Somebody
151,2015,51,Ariana Grande,One Last Time (Attends-moi)
152,2015,52,One Direction,Drag Me Down
153,2015,53,Andy Grammer,"Honey, I'm Good."
154,2015,54,Chris Brown & Tyga,Ayo
155,2015,55,Tove Lo,Talking Body
156,2015,56,X Ambassadors,Renegades
157,2015,57,Kygo & Parson James,Stole The Show
158,2015,58,Justin Bieber,Sorry
159,2015,59,James Newton Howard & Jennifer Lawrence,The Hanging Tree
160,2015,60,Sam Hunt,Take Your Time
161,2015,61,Robin Schulz & Francesco Yates,Sugar
162,2015,62,George Ezra,Budapest
163,2015,63,DJ Snake & AlunaGeorge,You Know You Like It
164,2015,64,James Bay,Hold Back The River
165,2015,65,Nick Jonas,Jealous
166,2015,66,Meghan Trainor,Dear Future Husband
167,2015,67,Macklemore & Ryan Lewis,Downtown
