,0,1,2
0,Sam Smith,Lay Me Down,"[Verse 1]
Yes I do, I believe
That one day I will be where I was
Right there, right next to you
And it's hard, the days just seem so dark
The moon, the stars are nothing without you
Your touch, your skin, where do I begin?
No words can explain the way I'm missing you
Deny this emptiness, this hole that I'm inside
These tears, they tell their own story

[Pre-Chorus]
Told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

[Chorus]
Can I lay by your side, next to you, you?
And make sure you're alright
I'll take care of you
I don't want to be here if I can't be with you tonight

[Verse 2]
I'm reaching out to you
Can you hear my call?
This hurt that I've been through
I'm missing you, missing you like crazy

[Pre-Chorus]
You told me not to cry when you were gone
But the feeling's overwhelming, it's much too strong

[Chorus]
Can I lay by your side, next to you, you?
And make sure you're alright
I'll take care of you
I don't want to be here if I can't be with you tonight

[Outro]
Lay me down tonight, lay me by your side
Lay me down tonight, lay me by your side
Can I lay by your side, next to you, you"
1,Kelly Clarkson,Heartbeat Song,"[Intro]
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long

[Verse 1]
You, where the hell did you come from?
You're a different, different kind of fun
And I'm so used to feeling numb
Now I've got pins and needles on my tongue
Anticipating what's to come
Like a finger on a loaded gun

[Pre-Chorus 1]
I can feel it rising
Temperature inside me
Haven't felt it for a lifetime

[Chorus]
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long (All night long)

[Verse 2]
I, I wasn't even gonna go out
But I never would've had a doubt
If I'd have known where I'd be now

[Pre-Chorus 2]
Your hands on my hips
And my kiss on your lips
Oh, I could do this for a lifetime

[Chorus]
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long, all night long

[Bridge]
Until tonight, I only dreamed about you
I can't believe I've ever breathed without you
Baby, you make me feel alive and brand new
Bring it one more time (One more time)

[Chorus]
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long, all night long
This is my heartbeat song and I'm gonna play it
Been so long, I forgot how to turn it
Up, up, up, up all night long
Oh, up, up all night long
This is my heartbeat song and I'm gonna play it
Turned it on, but I know you can take it
Up, up, up, up all night long
Oh, up, up all night long, all night long"
2,David Guetta & Sam Martin,Dangerous,"[Verse 1: Sam Martin]
You take me down, spin me around
You got me running all the lights
Don't make a sound, talk to me now
Let me inside your mind

[Pre-Chorus: Sam Martin]
I don't know what you're thinking, sugar, ooh
But I just got that feeling, sugar, ooh
I can hear the sirens burning
Red lights turning
I can't turn back now
So hold on tight

[Chorus: Sam Martin]
I don't know where the lights are taking us
But something in the night is dangerous
And nothing's holding back the two of us
Baby, this is getting serious
Oh, oh, oh-oh, oh
Detain the dangerous
Oh, oh, oh-oh, oh

[Verse 2: Sam Martin]
Show me your soul, I gotta know
Bet that you're beautiful inside
Toes on the gas, car moving fast
Come take the wheel and drive

[Pre-Chorus: Sam Martin]
I don't know what you're thinking, sugar, ooh yeah
And I just got that feeling, sugar, ooh yeah
I can hear the sirens burning
Red lights turning
I can't turn back now
So hold on tight

[Chorus: Sam Martin]
I don't know where the lights are taking us
But something in the night is dangerous
And nothing's holding back the two of us
Baby, this is getting serious
Oh, oh, oh-oh, oh
Detain the dangerous
Oh, oh, oh-oh, oh
Detain the dangerous

[Bridge: Sam Martin]
It's dangerous, so dangerous
I wanna do it again
Come on baby
It's dangerous, so dangerous
I wanna do it again
It's dangerous, so dangerous
I wanna do it again

[Chorus: Sam Martin]
I don't know where the lights are taking us
But something in the night is dangerous
And nothing's holding back the two of us
Baby this is getting serious
Oh oh oh
Dangerous
Oh oh oh
Dangerous"
3,Lost Frequencies & Janieck Devy,Reality,"[Chorus]
Decisions as I go to anywhere I flow
Sometimes I believe, at times I'm rational
I can fly high, I can go low
Today I got a million, tomorrow I don't know
Decisions as I go to anywhere I flow
Sometimes I believe, at times I'm rational
I can fly high, I can go low
Today I got a million, tomorrow I don't know

[Verse]
Stop claiming what you own, don't think about the show
We're all playing the same game, waiting on our loan
We're unknown and known, special and a clone
Hate will make you cautious, love will make you glow

[Chorus]
Make me feel the warmth, make me feel the cold
It's written in our stories, it's written on the walls
This is our call, we rise and we fall
Dancing in the moonlight, don't we have it all?

[Instrumental Break]

[Chorus]
Decisions as I go to anywhere I flow
Sometimes I believe, at times I'm rational
I can fly high, I can go low
Today I got a million, tomorrow I don't know
Make me feel the warmth, make me feel the cold
It's written in our stories, it's written on the walls
This is our call, we rise and we fall
Dancing in the moonlight, don't we have it all?"
4,Carly Rae Jepsen,I Really Like You,"[Verse 1]
I really wanna stop, but I just got the taste for it
I feel like I could fly with the boy on the moon
So honey, hold my hand, you like making me wait for it
I feel like I could die walking up to the room, oh yeah

[Pre-Chorus]
Late night watching television
But how'd we get in this position?
It's way too soon, I know this isn't love
But I need to tell you something

[Chorus]
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
Oh, did I say too much?
I’m so in my head when we’re out of touch
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?

[Verse 2]
It's like everything you say is a sweet revelation
All I wanna do is get into your head
Yeah, we could stay alone
You and me, and this temptation
Sipping on your lips, hanging on by a thread, baby

[Pre-Chorus]
Late night watching television
But how'd we get in this position?
It's way too soon, I know this isn't love (Love)
But I need to tell you something

[Chorus]
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
Oh, did I say too much?
I’m so in my head when we’re out of touch (When we’re out of touch!)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?

[Bridge]
Who gave you eyes like that?
Said you could keep them
I don’t know how to act
Or if I should be leaving
I’m running out of time
Going out of my mind
I need to tell you something
Yeah, I need to tell you something
Yeah!

[Chorus]
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too?
I really, really, really, really, really, really like you (Oh oh oh)
And I want you, do you want me, do you want me too?
Oh, did I say too much? (Did I say too much?)
I’m so in my head when we’re out of touch (I’m so in my head, when we’re out of touch)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too? (Yeah!)
I really, really, really, really, really, really like you
And I want you, do you want me, do you want me too? (Yeah, I need to tell you something)
I really, really, really, really, really, really like you (Oh, yeah)
And I want you, do you want me, do you want me too?"
5,Ellie Goulding,On My Mind,"[Intro]
Oh, oh
Uh-oh-oh-oh
Eh

[Verse 1]
It's a little blurry how the whole thing started
I don't even really know what you intended
Thought that you were cute and you could make me jealous
Poured it down, so I poured it down
Next thing that I know I'm in a hotel with you
You were talking deep like it was mad love to you
You wanted my heart but I just liked your tattoos
Poured it down, so I poured it down

[Pre-Chorus 1]
And now I don't understand it
You don't mess with love, you mess with the truth
And I know I shouldn't say it
But my heart don't understand

[Chorus 1]
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind

[Verse 2]
I always hear, always hear them talking
Talking 'bout a girl, 'bout a girl with my name
Saying that I hurt you but I still don't get it
You didn't love me, no, not really
Wait
I could have really liked you
I'll bet, I'll bet that's why I keep on thinking 'bout you
It's a shame (shame), you said I was good
So I poured it down, so I poured it down

[Pre-Chorus 1]
And now I don't understand it
You don't mess with love, you mess with the truth
And I know I shouldn't say it
But my heart don't understand

[Chorus 2]
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mi-i-i-i-ind

[Bridge]
You got yourself in a dangerous zone
Cause we both have the fear, fear of being alone

[Pre-Chorus 2]
And I still don't understand it
You don't mess with love, you mess with the truth
And my heart don't understand it
Understand it, understand it

[Chorus 3]
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
But my heart don't understand
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind
You think you know somebody
Why I got you on my mind

[Outro]
Uh, uh, uh, uh"
6,Years & Years,King,"[Verse 1]
I caught you watching me under the light
Can I realign?
They say it’s easy to leave you behind
I don’t wanna try

[Pre-Chorus]
Cut cover, take that test
Hold courage to your chest
Don’t wanna wait for you
Don’t wanna have to lose all that I've compromised
To feel another high
I’ve got to keep it down tonight

[Chorus]
And, oh-oh-oh-oh-oh
I was a king under your control
And, oh-oh-oh-oh-oh
I wanna feel like you've let me go
So let me go

[Verse 2]
Don’t you remember how I used to like being on the line?
I dreamed you dreamed of me calling out my name
Is it worth the price?

[Pre-Chorus]
Cut cover, take that test
Hold courage to your chest
Don’t wanna wait for you
Don’t wanna have to lose all that I've compromised
To feel another high
I’ve got to keep it down tonight

[Chorus]
And, oh-oh-oh-oh-oh
I was a king under your control
And, oh-oh-oh-oh-oh
I wanna feel like you've let me go

[Bridge]
I had to break myself to carry on
No love and no admission
Take this from me tonight
Oh-oh, let's fight
Oh-oh-oh, let's fight
Oh-oh, let's fight
Oh-oh-oh

[Chorus]
And, oh-oh-oh-oh-oh
I was a king under your control
And, oh-oh-oh-oh-oh
I wanna feel like you’ve let me go
So let me go

[Outro]
Let go, let go, let go of everything
Let go, let go, let go of everything
Let go, let go, let go of everything
Let go, let go, let go of everything"
7,Fetty Wap & Monty,My Way,"[Intro: Fetty Wap]
Ayy, yeah, baby
Squaaa, ayy, ayy

[Hook: Fetty Wap]
Baby, won't you come my way?
Got something I want to say
Cannot keep you out my brain
But first off I'ma start by sayin' this, ayy
All headshots if you think you could take my bitch, ayy
And I'm too turnt, when I shoot, swear I won't miss, ayy
Ba-Baby, won't you come my way?
Baby, won't you come my way?

[Verse 1: Fetty Wap]
Ba-Ba-Baby
This is something you should know
I don't ever chase no hoes
I spotted you, you had that glow
Watch me pull out all this dough
Take you where you want to go
Flexin' on your ex, I know
He ain't ever take you out
Barely even left your house
How dare that nigga run his mouth
When his pockets in a drought?
The last single he put out
Didn't even make it out
And he dumb as hell and I swear his ass don't think, ayy
If he disrespect, two shots and I won't blink, ayy
Never really cared what the fuck these niggas think, ayy
I got deep pockets, I swear my shit's on sink, ayy
And he mad as fuck, big ZooWap all she sing, ayy
And he mad as fuck, big ZooWap in her dreams, ayy
Well, he mad as fuck, when they sex she scream for me, ayy
Big ZooWap what these niggas should be, ayy

[Hook: Fetty Wap]
Baby, won't you come my way?
Got something I want to say
Cannot keep you out my brain
But first off I'ma start by sayin' this, ayy
All headshots if you think you could take my bitch, ayy
And I'm too turnt, when I shoot, swear I won't miss, ayy
Ba-Baby, won't you come my way?
Baby, won't you come my way?

[Verse 2: Monty]
Oh, baby girl, you can stay the night 'til the morn'
All this ice on my arm, what you like, what you want?
And I might put you on, bitch, it's mine can't you see?
And I rock seventeen, all these knots in my jeans
Me and Zoo turnin' up, got your boo in the cut
And she sue cause it's looking like the roof going up
Counting all this bread, I don't talk to feds
Try and take my bitch, you gonna take two to the head
Cause baby you the baddest, all this money, I'ma cash it
And I'm swervin' all in traffic
While I'm trapping out the mansion
And I'm moving through the tri-state
Do two-hundred on the highway
And I'm swerving in my i8
Baby, you should come my way
Squad!"
8,Taylor Swift,Wildest Dreams,"[Verse 1]
He said, ""Let's get out of this town
Drive out of this city, away from the crowds""
I thought, ""Heaven can't help me now""
Nothing lasts forever
But this is gonna take me down

[Pre-Chorus 1]
He's so tall and handsome as hell
He's so bad, but he does it so well
I can see the end as it begins
My one condition is

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah, haa
Wildest dreams, ah-aah, haa

[Verse 2]
I said, ""No one has to know what we do""
His hands are in my hair, his clothes are in my room
And his voice is a familiar sound
Nothing lasts forever
But this is gettin' good now

[Pre-Chorus 2]
He's so tall and handsome as hell
He's so bad, but he does it so well
And when we've had our very last kiss
My last request, it is

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your
Wildest dreams, ah-aah haa (ah-aah haa)
Wildest dreams, ah-aah haa

[Bridge]
You'll see me in hindsight, tangled up with you all night
Burnin' it down
Someday when you leave me, I'd bet these memories
Follow you around
You'll see me in hindsight, tangled up with you all night
Burning (burning) it (it) down (down)
Someday when you leave me, I'll bet these memories
Follow (follow) you (you) around (around)
(Follow you around)

[Breakdown]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just pretend

[Chorus]
Say you'll remember me
Standing in a nice dress
Staring at the sunset, babe
Red lips and rosy cheeks
Say you'll see me again
Even if it's just in your (pretend, just pretend)
Wildest dreams, ah-aah, ha (ah-aah-aah-aah-aah-ha)
In your wildest dreams, ah-aah, ha
Even if it's just in your
Wildest dreams, ah-aah, ha
In your wildest dreams, ah-aah, ha"
9,Demi Lovato,Cool For The Summer,"[Verse 1]
Tell me what you want
What you like
It's okay
I'm a little curious too
Tell me if it's wrong, if it's right
I don't care
I can keep a secret, can you?

[Pre-Chorus]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer

[Break]
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh

[Chorus]
Take me down into your paradise
Don't be scared, 'cause I'm your body type
Just something that we wanna try
'Cause you and I, we're cool for the summer

[Verse 2]
Tell me if I won
If I did, what's my prize?
I just wanna play with you too
Even if they judge, fuck it, I'll do the time
I just wanna have some fun with you

[Pre-Chorus]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite
Don't tell your mother
Kiss one another
Die for each other
We're cool for the summer

[Break]
Ooh-ooh-ooh-ooh-ooh
Ooh-ooh-ooh-ooh-ooh

[Chorus]
Take me down into your paradise
Don't be scared, 'cause I'm your body type
Just something that we wanna try
'Cause you and I, we're cool for the summer
We're cool for the summer
We're cool for the summer

[Interlude]
Shh...
Don't tell your mother

[Breakdown]
Got my mind on your body and your body on my mind
Got a taste for the cherry, I just need to take a bite

[Chorus]
(Take me down) Take me down into your paradise
(Don't be scared) Don't be scared, 'cause I'm your body type
Just something that we wanna try (wanna try)
'Cause you and I (you and I), we're cool for the summer

[Outro]
(Take me down) We're cool for the summer
(Don't be scared), 'cause I'm your body type
(Just something) Just something that we wanna try
'Cause you and I (you and I), we're cool for the summer
Ooh-ooh-ooh-ooh-ooh
We're cool for the summer"
