,year,position,artist,song
168,2015,68,Sam Smith,Lay Me Down
169,2015,69,Kelly Clarkson,Heartbeat Song
170,2015,70,David Guetta & Sam Martin,Dangerous
171,2015,71,Lost Frequencies & Janieck Devy,Reality
172,2015,72,Carly Rae Jepsen,I Really Like You
173,2015,73,Ellie Goulding,On My Mind
174,2015,74,Years & Years,King
175,2015,75,Fetty Wap & Monty,My Way
176,2015,76,Taylor Swift,Wildest Dreams
177,2015,77,Demi Lovato,Cool For The Summer
178,2015,78,Usher,I Don't Mind
179,2015,79,Vance Joy,Riptide
180,2015,80,"Flo-Rida, Robin Thicke & Verdine White","I Don't Like It, I Love It"
181,2015,81,Fall Out Boy,Centuries
182,2015,82,Maroon 5,Animals
183,2015,83,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang
184,2015,84,Avicii,Waiting For Love
185,2015,85,Meghan Trainor & John Legend,Like I'm Gonna Lose You
186,2015,86,T-Wayne,Nasty Freestyle
187,2015,87,Ariana Grande,Love Me Harder
188,2015,88,John Legend,All Of Me
189,2015,89,Elle King,Ex's & Oh's
190,2015,90,Rich Homie Quan,Flex (Ooh Ooh Ooh)
191,2015,91,Beyonce,7-11
192,2015,92,Fall Out Boy,Uma Thurman
193,2015,93,Sido & Andreas Bourani,Astronaut
194,2015,94,Zedd & Selena Gomez,I Want You To Know
195,2015,95,Little Big Town,Girl Crush
196,2015,96,Big Sean & E-40,I Don't F**k With You
197,2015,97,Jess Glynne,Hold My Hand
198,2015,98,Adam Lambert,Ghost Town
199,2015,99,feder & lyse,Goodbye
200,2015,100,Alessia Cara,Here
201,2016,1,Sia,Cheap Thrills
202,2016,2,"Drake, WizKid & Kyla",One Dance
203,2016,3,Justin Bieber,Love Yourself
204,2016,4,The Chainsmokers & Daya,Don't Let Me Down
205,2016,5,Twenty One Pilots,Stressed Out
206,2016,6,Justin Timberlake,Can't Stop The Feeling
207,2016,7,Lukas Graham,Seven Years
208,2016,8,Mike Posner,I Took A Pill In Ibiza
209,2016,9,Rihanna & Drake,Work
210,2016,10,Justin Bieber,Sorry
211,2016,11,Rihanna & Calvin Harris,This Is What You Came For
212,2016,12,Desiigner,Panda
213,2016,13,Fifth Harmony & Ty Dolla Sign,Work From Home
214,2016,14,The Chainsmokers & Halsey,Closer
215,2016,15,DNCE,Cake By The Ocean
216,2016,16,Twenty One Pilots,Heathens
217,2016,17,"Major Lazer, Justin Bieber & MO",Cold Water
218,2016,18,G-Eazy & Bebe Rexha,"Me, Myself & I"
219,2016,19,DJ Snake & Justin Bieber,Let Me Love You
220,2016,20,Shawn Mendes,Stitches
221,2016,21,Shawn Mendes,Treat You Better
222,2016,22,Rihanna,Needed Me
223,2016,23,Kungs & Cookin' On 3 Burners,This Girl
224,2016,24,Twenty One Pilots,Ride
225,2016,25,Adele,Hello
226,2016,26,Alan Walker,Faded
227,2016,27,Flo-Rida,My House
228,2016,28,Coldplay,Hymn For The Weekend
229,2016,29,Rihanna & Drake,Too Good
230,2016,30,Zayn,Pillow talk
231,2016,31,The Weeknd & Daft Punk,Starboy
232,2016,32,Adele,Send My Love (To Your New Lover)
233,2016,33,The Chainsmokers & Rozes,Roses
234,2016,34,Charlie Puth & Selena Gomez,We Don't Talk Anymore
235,2016,35,Justin Bieber,What Do You Mean?
236,2016,36,Zara Larsson & MNEK,Never Forget You
237,2016,37,Pink,Just Like Fire
238,2016,38,"Major Lazer, Nyla & Fuse ODG",Light It Up
239,2016,39,Gnash & Olivia O'Brien,I Hate U I Love U
240,2016,40,Charlie Puth,One Call Away
241,2016,41,Sia & Kendrick Lamar,The Greatest
242,2016,42,Ariana Grande,Into You
243,2016,43,"Lil' Wayne, Wiz Khalifa & Imagine Dragons",Sucker For Pain
244,2016,44,Drake,Controlla
245,2016,45,Drake,Hotline Bling
246,2016,46,Imany,Don't Be So Shy (Filatov & Karas Remix)
247,2016,47,Ariana Grande,Dangerous Woman
248,2016,48,Ariana Grande & Nicki Minaj,Side To Side
249,2016,49,James Bay,Let It Go
250,2016,50,The Weeknd,The Hills
251,2016,51,Coldplay,Adventure Of A Lifetime
252,2016,52,Kent Jones,Don't Mind
253,2016,53,Disturbed,The Sound Of Silence
254,2016,54,Meghan Trainor,No
255,2016,55,Kiiara,Gold
256,2016,56,Selena Gomez,Hands To Myself
257,2016,57,Martin Garrix & Bebe Rexha,In The Name Of Love
258,2016,58,Flume & Kai,Never Be Like You
259,2016,59,DRAM & Lil Yachty,Broccoli
260,2016,60,Zara Larsson,Lush Life
261,2016,61,Future & The Weeknd,Low Life
262,2016,62,Hailee Steinfeld & Grey,Starving
263,2016,63,Calvin Harris,My Way
264,2016,64,Rae Sremmurd & Gucci Mane,Black Beatles
265,2016,65,Bruno Mars,24K Magic
266,2016,66,Elle King,Ex's & Oh's
267,2016,67,DJ Snake & Bipolar Sunshine,Middle
268,2016,68,Jonas Blue,Fast Car
269,2016,69,Rag'n'Bone Man,Human
