,index,artist,song,year
0,1400,Pharrell Williams,Happy,2014
1,1401,John Legend,All Of Me,2014
2,1402,Katy Perry,Dark Horse,2014
3,1403,Clean Bandit & Jess Glynne,Rather Be,2014
4,1404,Sam Smith,Stay With Me,2014
5,1405,Pitbull & Ke$ha,Timber,2014
6,1406,OneRepublic,Counting Stars,2014
7,1407,Meghan Trainor,All About That Bass,2014
8,1408,Iggy Azalea & Charli XCX,Fancy,2014
9,1409,Magic!,Rude,2014
10,1410,Nico & Vinz,Am I Wrong,2014
11,1411,Sia,Chandelier,2014
12,1412,Calvin Harris,Summer,2014
13,1413,Mr Probz,Waves,2014
14,1414,Ariana Grande & Iggy Azalea,Problem,2014
15,1415,DJ Snake & Lil' Jon,Turn Down For What,2014
16,1416,Taylor Swift,Shake It Off,2014
17,1417,Jason Derulo & 2 Chainz,Talk Dirty,2014
18,1418,Bastille,Pompeii,2014
19,1419,Coldplay,A Sky Full Of Stars,2014
20,1420,Imagine Dragons,Demons,2014
21,1421,Avicii,Wake Me Up,2014
22,1422,Idina Menzel,Let It Go,2014
23,1423,Avicii,"Hey, Brother",2014
24,1424,Jason Derulo & Snoop Dogg,Wiggle,2014
25,1425,Lorde,Team,2014
26,1426,"Jessie J, Nicki Minaj & Ariana Grande",Bang Bang,2014
27,1427,Ed Sheeran,Sing,2014
28,1428,Milky Chance,Stolen Dance,2014
29,1429,Maroon 5,Maps,2014
30,1430,Iggy Azalea & Rita Ora,Black Widow,2014
31,1431,Rihanna & Eminem,The Monster,2014
32,1432,Chris Brown & Lil' Wayne,Loyal,2014
33,1433,A Great Big World & Christina Aguilera,Say Something,2014
34,1434,Passenger,Let Her Go,2014
35,1435,American Authors,Best Day Of My Life,2014
36,1436,Ed Sheeran,Don't,2014
37,1437,Enrique Iglesias,Bailando,2014
38,1438,Tove Lo & Hippie Sabotage,Habits (Stay High),2014
39,1439,Ariana Grande & Zedd,Break Free,2014
40,1440,Vance Joy,Riptide,2014
41,1441,Charli XCX,Boom Clap,2014
42,1442,OneRepublic,Love Runs Out,2014
43,1443,One Direction,Story Of My Life,2014
44,1444,Beyonce & Jay-Z,Drunk In Love,2014
45,1445,Lorde,Royals,2014
46,1446,Jason Derulo,Trumpets,2014
47,1447,Disclosure & Sam Smith,Latch,2014
48,1448,Kiesza,Hideaway,2014
49,1449,Helene Fischer,Atemlos durch die Nacht,2014
50,1450,Jeremih & YG,Don't Tell 'Em,2014
51,1451,Lilly Wood & The Prick & Robin Schulz,Prayer In C (Robin Schulz Remix),2014
52,1452,Martin Garrix,Animals,2014
53,1453,Michael Jackson & Justin Timberlake,Love Never Felt So Good,2014
54,1454,Calvin Harris & John Newman,Blame,2014
55,1455,Aloe Blacc,The Man,2014
56,1456,Ed Sheeran,I See Fire,2014
57,1457,Ellie Goulding,Burn,2014
58,1458,Kid Ink & Chris Brown,Show Me,2014
59,1459,George Ezra,Budapest,2014
60,1460,Hozier,Take Me To Church,2014
61,1461,Nicki Minaj,Anaconda,2014
62,1462,Katy Perry,Roar,2014
63,1463,Imagine Dragons,Radioactive,2014
64,1464,Shakira & Rihanna,Can't Remember To Forget You,2014
65,1465,Justin Timberlake,Not A Bad Thing,2014
66,1466,Coldplay,Magic,2014
67,1467,Maroon 5,Animals,2014
68,1468,David Guetta & Sam Martin,Lovers On The Sun,2014
69,1469,Sam Smith,I'm Not The Only One,2014
70,1470,Ella Henderson,Ghost,2014
71,1471,Miley Cyrus,Wrecking Ball,2014
72,1472,MKTO,Classic,2014
73,1473,Trey Songz,Na Na,2014
74,1474,Klingande,Jubel,2014
75,1475,Avicii,Addicted To You,2014
76,1476,"Robin Thicke, T.I. & Pharrell Williams",Blurred Lines,2014
77,1477,5 Seconds of Summer,She Looks So Perfect,2014
78,1478,Florida Georgia Line,This Is How We Roll,2014
79,1479,Ed Sheeran,Thinking Out Loud,2014
80,1480,Paramore,Ain't It Fun,2014
81,1481,Faul & Wad Ad vs. Pnau,Changes,2014
82,1482,Rixton,Me & My Broken Heart,2014
83,1483,Echosmith,Cool Kids,2014
84,1484,Andreas Bourani,Auf uns,2014
