,artist_id,artist,song,year,clean_lyrics,clean_unique_words,clean_unique_words_count
0,1,21 Savage,Bank Account,2017, ooh  ooh  ooh  ow  ow  ow wow  wow  ow  ah  ow  ah  ah  ah   i buy a new car for the bitch  for real  i tear down the mall with the bitch  for real  you can t even talk to the bitch  no  she fucking with bosses and shit  on god  i pull up in  rari s and shit  skrrr  with choppers and harley s and shit  for real  i be gucci d down  gucci  you wearing lacoste and shit  bitch  yeah  moncler  yuh  fur came off a bear  yuh  yeah  triple homicide  put me in a chair  yuh  in jail  triple cross the plug  we do not play fair  yuh  on god  got  em tennis chains on and they real blingy  bling  draco make you do the chicken head like chingy  chingy  walk in neiman marcus and i spend a light fifty  fifty  please proceed with caution  shooters  they be right with me  21  bad bitch  cute face and some nice titties  7500 on a saint laurent jacket  yeah  bitch  be careful when you dumpin  your ashes  bitch  i ain t no sucker  i ain t cuffin  no action  nah  the skreets raised me  i m a whole bastard  wild  i bought a  rari just so i can go faster  skrrr  niggas tryna copy me  they playin  catch up  21  i might pull up in a ghost  no casper  21  i been smoking gas and i got no asthma   i got 1 2 3 4 5 6 7 8 m s in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  i got 1 2 3 4 5 6 7 8 shooters ready to gun you down  yeah  fast  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god    yeah  dawg  huh—yeah—  nah for real  dawg  21  straight up out the 6  now got a house in the hills  dawg  21  wanna see a body  nigga  get you killed  dawg  wet  wanna tweet about me  nigga  get you killed  dawg  wet  killed dog  i m a real dawg—21—  you a lil  dawg  21  bill dog  want a bil   dog  chasing mil s  dawg  yeah  dunk right in your bitch like o neal  dawg  wet  plus i shoot like  shoot like reggie mill   dawg  21  chopper sting you like a eel  dawg  fast    i got 1 2 3 4 5 6 7 8 m s in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  i got 1 2 3 4 5 6 7 8 shooters ready to gun you down  yeah  fast  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god    ruler clip—umm—  sent a ruler hit pull up on yo  bitch  she say that i got a ruler dick spray your block down  we not really with that ruh rah shit glock cocked now  i don t really give no fuck  bout who i hit yeah  yo  bitch  she get jiggy with me  keep that siggy with me bitch  i m mad max  you know i got ziggy with me keep a mad mag in case a nigga wanna get busy with me  rari matte black and i got a bentley with me   i got 1 2 3 4 5 6 7 8 m s in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  in my bank account  yeah  on god  i got 1 2 3 4 5 6 7 8 shooters ready to gun you down  yeah  fast  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god  ready to gun you down  yeah  on god     7500 on a saint laurent jacket bitch  be careful where you dumpin  your ashes i ain t no sucker  i ain t cuffin  no action the streets raised me  i m a whole bastard,"['chopper', 'pull', 'wet', 'mil', 'streets', 'chains', 'dick', 'don', 'busy', 'wow', 'ghost', 'plug', 'max', 'chicken', 'bastard', 'bought', 'fur', 'chasing', 'yeah', 'jacket', 'account', 'tweet', 'tear', 'hills', 'tennis', 'shoot', 'mad', 'sucker', 'fucking', 'wearing', 'ruler', 'faster', 'nice', 'careful', 'wanna', 'asthma', 'dunk', 'fair', 'ashes', 'shit', 'bitch', 'cocked', 'fifty', 'smoking', 'triple', '7500', 'caution', 'matte', 'shooters', 'spray', 'rah', 'chair', 'bout', 'mall', 'real', 'mag', 'ooh', 'spend', 'mill', 'huh—yeah—', 'bosses', 'cute', 'plus', 'sting', 'proceed', 'saint', 'eel', 'choppers', 'jail', 'homicide', 'fuck']",71
1,2,5 Seconds of Summer,She Looks So Perfect,2014, hey hey  hey hey  hey hey  hey hey hey  hey hey  hey hey  hey   simmer down  simmer down they say we’re too young now to amount to anything else but look around we worked too damn hard for this just to give it up now if you don’t swim  you’ll drown but don’t move  honey   you look so perfect standing there in my american apparel underwear and i know now that i’m so down your lipstick stain is a work of art i got your name tattooed in an arrow heart and i know now that i’m so down hey hey hey  hey hey  hey hey  hey   let’s get out  let’s get out  cause this deadbeat town’s only here just to keep us down while i was out i found myself alone just thinking if i showed up with a plane ticket and a shiny diamond ring with your name on it would you wanna run away too   cause all i really want is you   you look so perfect standing there in my american apparel underwear and i know now that i’m so down i made a mixtape straight out of ‘94 i’ve got your ripped skinny jeans lying on the floor and i know now that i’m so down hey hey hey  hey hey  hey hey  hey   you look so perfect standing there in my american apparel underwear and i know now that i m so down your lipstick stain is a work of art i got your name tattooed in an arrow heart and i know now that i’m so down   hey hey hey  hey hey  hey hey  hey you look so perfect standing there in my american apparel underwear and i know now that i’m so down  hey  your lipstick stain is a work of art i got your name tattooed in an arrow heart and i know now that i’m so down hey,"['ticket', 'tattooed', 'myself', 'don’t', 'arrow', 'stain', 'standing', 'shiny', 'skinny', 'diamond', 'i’m', 'perfect', 'showed', 'ripped', 'honey', 'town’s', 'we’re', 'drown', 'apparel', 'wanna', '‘94', 'lipstick', 'simmer', 'damn', 'thinking', 'hey', 'let’s', 'deadbeat', 'lying', 'you’ll', 'worked', 'underwear', 'jeans']",33
2,2,5 Seconds of Summer,Amnesia,2014, i drove by all the places we used to hang out getting wasted i thought about our last kiss  how it felt  the way you tasted and even though your friends tell me you re doing fine are you somewhere feeling lonely even though he’s right beside you  when he says those words that hurt you do you read the ones i wrote you    sometimes i start to wonder  was it just a lie  if what we had was real  how could you be fine   cause i m not fine at all   i remember the day you told me you were leaving i remember the make up running down your face and the dreams you left behind  you didn t need them like every single wish we ever made i wish that i could wake up with amnesia and forget about the stupid little things like the way it felt to fall asleep next to you and the memories i never can escape  cause i m not fine at all   the pictures that you sent me  they re still living in my phone i admit i like to see them  i ll admit i feel alone and all my friends keep asking why i m not around it hurts to know you’re happy and it hurts that you moved on it’s hard to hear your name when i haven t seen you in so long   it’s like we never happened  was it just a lie  if what we had was real  how could you be fine   cause i m not fine at all   i remember the day you told me you were leaving i remember the make up running down your face and the dreams you left behind you didn t need them like every single wish  we ever made i wish that i could wake up with amnesia and forget about the stupid little things like the way it felt to fall asleep next to you and the memories i never can escape   if today i woke up with you right beside me like all of this was just some twisted dream i d hold you closer than i ever did before and you d never slip away and you d never hear me say   i remember the day you told me you were leaving i remember the make up running down your face and the dreams you left behind you didn t need them like every single wish  we ever made i wish that i could wake up with amnesia and forget about the stupid little things like the way it felt to fall asleep next to you and the memories i never can escape    cause i m not fine at all no  i m really not fine at all tell me this is just a dream  cause i m really not fine at all,"['wasted', 'words', 'closer', 'living', 'drove', 'things', 'dreams', 'hang', 'used', 'tasted', 'it’s', 'phone', 'twisted', 'doing', 'places', 'pictures', 'kiss', 'lonely', 'memories', 'admit', 'says', 'escape', 'running', 'forget', 'wake', 'hurt', 'asleep', 'somewhere', 'asking', 'getting', 'he’s', 'haven', 'hurts', 'slip', 'moved', 'you’re', 'ones', 'real', 'single', 'dream', 'amnesia', 'leaving', 'stupid', 'woke']",44
3,2,5 Seconds of Summer,Youngblood,2018, remember the words you told me  love me  til the day i die  surrender my everything  cause you made me believe you re mine yeah  you used to call me baby now you re calling me by name takes one to know one  yeah you beat me at my own damn game   you push and you push and i m pulling away pulling away from you i give and i give and i give and you take give and you take   youngblood say you want me  say you want me out of your life and i m just a dead man walking tonight but you need it  yeah  you need it all of the time yeah  ooh  ooh  ooh youngblood say you want me  say you want me back in your life so i’m just a dead man crawling tonight  cause i need it  yeah  i need it all of the time yeah  ooh  ooh  ooh   lately our conversations end like it s the last goodbye then one of us gets too drunk and calls about a hundred times so  who you been calling baby  nobody could take my place when you’re looking at those strangers hope to god you see my face   youngblood say you want me  say you want me out of your life and i m just a dead man walking tonight but you need it  yeah  you need it all of the time yeah  ooh  ooh  ooh youngblood say you want me  say you want me back in your life so i’m just a dead man crawling tonight  cause i need it  yeah  i need it all of the time yeah  ooh  ooh  ooh   you push and you push and i m pulling away pulling away from you i give and i give and i give and you take give and you take you re running around and i m running away running away from you  mmm  from you   youngblood say you want me  say you want me out of your life and i m just a dead man walking tonight but you need it  yeah  you need it all of the time yeah  ooh  ooh  ooh youngblood say you want me  say you want me back in your life so i’m just a dead man crawling tonight  cause i need it  yeah  i need it all of the time yeah  ooh  ooh  ooh   you push and you push and i m pulling away pulling away from you i give and i give and i give and you take give and you take youngblood say you want me say you want me out of your life and i m just a dead man walking tonight,"['surrender', 'conversations', 'words', 'calls', 'used', 'crawling', 'strangers', 'i’m', 'times', 'tonight', 'push', 'lately', 'drunk', 'pulling', 'running', 'walking', 'nobody', 'calling', 'die', 'gets', 'damn', 'looking', 'yeah', 'goodbye', 'you’re', 'takes', 'ooh']",27
4,3,"6ix9ine, Nicki Minaj & Murda Beatz",Fefe,2018, it s fuckin  tr3yway  king of new york  lookin  for the queen uh  you got the right one  hmm l let these l let these b b bitches know  nigga queens  brooklyn  brrr  ah  murda on the beat so it s not nice    pussy got that wet  wet  got that drip  drip got that super soaker  hit that she a fefe  her name keke she eat my dick like it s free  free i don t even know like  why i did that   i don t even know like  why i hit that   all i know is that i just can t wife that talk to her nice so she won t fight back turn around and hit it from the back  back  back bend her down then i make it clap  clap  clap   i don t really want no friends i don t really want no friends  no   draco got that kick back when i blow that  they all do track they don t shoot back  one shot  close range  red dot head tight  yeah  i did that  yeah  i live that call a uber with my shooter  with a ruger  we gon  do ya niggas say they killin  people  but i really fuckin  do it   i don t really want no friends i don t really want no friends  no   he he tryna 69 like tekashi  call him papi word to a ap  keep me rocky  i m from new york  so i m cocky say he fuckin  with my posse  copped me khloé like kardashi  keep this pussy in versace  said i m pretty like tinashe put put it all up in his face  did i catch a case  pussy game just caught a body  but i never leave a trace face is pretty  ass for days  i get chips  i ask for lay s i just sit back and when he done  i be like   yo  how d it taste    yo  how d it taste     i don t really want no friends i don t really want no friends  no   ayo  draco got that kick back when it kick back  you can t get yo shit back in fact this that bitch that  i hate small talk  i don t fuck with chit chat  ac just stopped workin  so they hit me  told me bring my wrist back come through rockin  fashions that got all these bitches like  yo  what s that    like  yo  what s that      i don t really want no friends i don t really want no friends  no   eeny  meeny  miny  moe i catch a ho right by her toe if she ain t fuckin  me and nicki kick that ho right through the door  tr3yway  i don t really want no friends  my old ho just bought this benz nicki just hopped in this shit  now i won t see that bitch again eeny  meeny  miny  moe  no  i catch a ho right by her toe  no  if she ain t fuckin  me and nicki kick that ho right through the door  no  tr3yway    mmm  young money  young money bunny colorful hair  don t care i don t really want no friends i don t really want no friends  no i don t really want no friends i don t really want no friends  no scum gang ,"['soaker', 'wet', 'dick', 'don', 'ass', 'shooter', 'chat', 'hopped', 'kick', 'bought', 'yeah', 'cocky', 'toe', 'bitches', 'copped', 'drip', 'shoot', 'taste', 'gang', 'range', 'pussy', 'nice', 'fashions', 'scum', 'wrist', 'won', 'bend', 'posse', 'queen', 'shit', 'shot', 'bitch', 'super', 'rocky', 'queens', 'tight', 'clap', 'chips', 'colorful', 'days', 'hate', 'stopped', 'bunny', 'trace', 'dot', 'chit', 'fuck']",47
5,4,A Great Big World & Christina Aguilera,Say Something,2014, say something  i m giving up on you i ll be the one  if you want me to anywhere  i would ve followed you say something  i m giving up on you   and i    am feeling so small it was over my head i know nothing at all   and i will stumble and fall i m still learning to love just starting to crawl   say something  i m giving up on you i m sorry that i couldn t get to you anywhere  i would ve followed you say something  i m giving up on you   and i will swallow my pride you re the one that i love and i m saying goodbye   say something  i m giving up on you and i m sorry that i couldn t get to you and anywhere  i would ve followed you  oh oh say something  i m giving up on you   say something  i m giving up on you say something   ,"['swallow', 'giving', 'followed', 'stumble', 'goodbye', 'anywhere', 'sorry', 'pride', 'starting', 'saying', 'crawl', 'learning']",12
6,5,Adam Lambert,Ghost Town,2015, died last night in my dreams walking the streets of some old ghost town i tried to believe in god and james dean but hollywood sold out saw all of the saints lock up the gates i could not enter walked into the flames called out your name but there was no answer   and now i know my heart is a ghost town my heart is a ghost town my heart is a ghost town my heart is a ghost town   died last night in my dreams all the machines had been disconnected time was thrown at the wind and all of my friends had been disaffected now  i m searching for trust in a city of rust a city of vampires tonight  elvis is dead and everyone s spread and love is a satire   and now i know my heart is a ghost town my heart is a ghost town ooh  my heart is a ghost town my heart is a ghost town   there s no one left in the world i m gunslingin  don t give a fuck if i go down  down  down i got a voice in my head that keeps singing oh  my heart is a ghost town   ooh  my heart is a ghost town oh  my heart is a ghost town  said  my heart  my heart is a ghost town my heart is a ghost town,"['saints', 'sold', 'gates', 'walked', 'machines', 'dreams', 'streets', 'dean', 'called', 'don', 'tonight', 'satire', 'keeps', 'lock', 'ghost', 'thrown', 'tried', 'enter', 'singing', 'walking', 'disaffected', 'flames', 'rust', 'vampires', 'searching', 'trust', 'disconnected', 'ooh', 'fuck']",29
7,6,Adele,Hello,2015, hello  it s me i was wondering if after all these years you d like to meet to go over everything they say that time s supposed to heal ya  but i ain t done much healing hello  can you hear me  i m in california dreaming about who we used to be when we were younger and free i ve forgotten how it felt before the world fell at our feet   there s such a difference between us and a million miles   hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore   hello  how are you  it s so typical of me to talk about myself  i m sorry i hope that you re well did you ever make it out of that town where nothing ever happened    it s no secret that the both of us are running out of time   so hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore    highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore   hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore   ,"['highs', 'myself', 'used', 'apart', 'times', 'thousand', 'called', 'miles', 'don', 'younger', 'years', 'wondering', 'anymore', 'breaking', 'tried', 'running', 'lows', 'hello', 'typical', 'sorry', 'clearly', 'forgotten', 'healing', 'supposed', 'dreaming', 'secret', 'tear', 'heal', 'ooh']",29
8,6,Adele,Hello,2016, hello  it s me i was wondering if after all these years you d like to meet to go over everything they say that time s supposed to heal ya  but i ain t done much healing hello  can you hear me  i m in california dreaming about who we used to be when we were younger and free i ve forgotten how it felt before the world fell at our feet   there s such a difference between us and a million miles   hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore   hello  how are you  it s so typical of me to talk about myself  i m sorry i hope that you re well did you ever make it out of that town where nothing ever happened    it s no secret that the both of us are running out of time   so hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore    highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  ooh  anymore  highs  highs  highs  highs  lows  lows  lows  lows  anymore   hello from the other side i must ve called a thousand times to tell you  i m sorry for everything that i ve done but when i call  you never seem to be home hello from the outside at least  i can say that i ve tried to tell you  i m sorry for breaking your heart but it don t matter  it clearly doesn t tear you apart anymore   ,"['highs', 'myself', 'used', 'apart', 'times', 'thousand', 'called', 'miles', 'don', 'younger', 'years', 'wondering', 'anymore', 'breaking', 'tried', 'running', 'lows', 'hello', 'typical', 'sorry', 'clearly', 'forgotten', 'healing', 'supposed', 'dreaming', 'secret', 'tear', 'heal', 'ooh']",29
9,6,Adele,Send My Love (To Your New Lover),2016, just the guitar  okay  cool   this was all you  none of it me you put your hands on  on my body and told me mmm  told me you were ready for the big one  for the big jump i d be your last love  everlasting  you and me mmm  that was what you told me   i m giving you up i ve forgiven it all you set me free   send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more   i was too strong  you were trembling you couldn t handle the hot heat rising  rising  mmm  baby  i m still rising i was running  you were walking you couldn t keep up  you were falling down  down  mmm  there s only one way down   i m giving you up i ve forgiven it all you set me free  oh   send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more   if you re ready  if you re ready if you re ready  i am ready if you re ready  if you re ready we both know we ain t kids no more no  we ain t kids no more   i m giving you up i ve forgiven it all you set me free   send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more send my love to your new lover treat her better we ve gotta let go of all of our ghosts we both know we ain t kids no more   if you re ready  if you re ready  send my love to your new lover  if you re ready  are you ready   treat her better  we ve gotta let go of all of our ghosts we both know we ain t kids no more if you re ready  if you re ready  send my love to your new lover  if you re ready  are you ready   treat her better  we ve gotta let go of all of our ghosts we both know we ain t kids no more,"['everlasting', 'gotta', 'none', 'forgiven', 'jump', 'guitar', 'handle', 'rising', 'running', 'walking', 'hands', 'falling', 'treat', 'trembling', 'kids', 'lover', 'ghosts', 'giving', 'okay']",19
