,Unnamed: 0,year,position,artist,song,lyrics
0,1,2014,1,Pharrell Williams,Happy,"


It might seem crazy what I'm 'bout to say
Sunshine she's here, you can take a break
I'm a hot air balloon that could go to space
With the air, like I don't care, baby, by the way


(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do


Here come bad news, talking this and that (Yeah!)
Well, give me all you got, don't hold it back (Yeah!)
Well, I should probably warn ya, I'll be just fine (Yeah!)
No offense to you, don’t waste your time, here's why


(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do


Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said
Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said


(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do


Bring me down
Can't nothing bring me down
My level's too high to bring me down
Can't nothing bring me down, I said...


(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do
(Because I'm happy)
Clap along if you feel like a room without a roof
(Because I'm happy)
Clap along if you feel like happiness is the truth
(Because I'm happy)
Clap along if you know what happiness is to you
(Because I'm happy)
Clap along if you feel like that's what you wanna do"
1,2,2014,2,John Legend,All Of Me,"
What would I do without your smart mouth?
Drawin' me in and you kickin' me out
You've got my head spinnin', no kiddin'
I can't pin you down
What's goin' on in that beautiful mind?
I'm on your magical mystery ride
And I'm so dizzy, don't know what hit me
But I'll be alright


My head's under water, but I'm breathing fine
You're crazy and I'm out of my mind


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you, oh-oh


How many times do I have to tell you?
Even when you're crying, you're beautiful too
The world is beating you down, I'm around
Through every mood
You're my downfall, you're my muse
My worst distraction, my rhythm and blues
I can't stop singing, it's ringing
In my head for you


My head's under water, but I'm breathin' fine
You're crazy and I'm out of my mind


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you, oh-oh


Give me all of you, oh
Cards on the table, we're both showing hearts
Risking it all, though it's hard


'Cause all of me
Loves all of you
Love your curves and all your edges
All your perfect imperfections
Give your all to me
I'll give my all to you
You're my end and my beginnin'
Even when I lose, I'm winnin'


'Cause I give you all of me
And you give me all of you


I give you all of me
And you give me all of you, oh-oh"
2,3,2014,3,Katy Perry,Dark Horse,"
Yeah, ya'll know what it is
Katy Perry, Juicy J
Uh huh, let's rage!


I knew you were, you were gonna come to me
And here you are, but you better choose carefully
'Cause I, I'm capable of anything
Of anything, and everything
Make me your Aphrodite
Make me your one and only
But don't make me your enemy (enemy)
Your enemy (your enemy), your enemy


So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
'Cause I'm coming at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no going back


Mark my words, this love will make you levitate
Like a bird, like a bird without a cage
We're down to earth if you choose to walk away
Don't walk away (walk away)
It's in the palm of your hand now, baby
It's a yes or a no, no maybe
So just be sure before you give it all to me
All to me, give it all to me


So you wanna play with magic?
Boy, you should know what you're fallin' for
Baby, do you dare to do this?
Cause I'm coming at you like a dark horse
Are you ready for, ready for
A perfect storm, perfect storm?
'Cause once you're mine, once you're mine
There's no going back


She's a beast, I call her Karma (come back)
She eat your heart out like Jeffrey Dahmer (Woo!)
Be careful, try not to lead her on
Shawty's heart is on steroids, 'cause her love is so strong
You may fall in love when you meet her (meet her)
If you get the chance, you better keep her (keep her)
She's sweet as pie, but if you break her heart
She turn cold as a freezer (freezer)
That fairy tale ending with a knight in shining armor
She can be my sleeping beauty, I'm gon' put her in a coma (Woo!)
Damn, I think I love her, shawty's so bad, I'm sprung and I don't care
She ride me like a roller coaster, turn the bedroom into a fair (a fair)
Her love is like a drug, I was tryna hit it and quit it
But lil mama so dope, I messed around and got addicted


So you wanna play with magic?
Boy, you should know what you're fallin' for (you should know)
Baby, do you dare to do this?
'Cause I'm coming at you like a dark horse (like a dark horse)
Are you ready for, ready for (ready for)
A perfect storm, perfect storm? (a perfect storm)
'Cause once you're mine, once you're mine
There's no going back


"
3,4,2014,4,Clean Bandit & Jess Glynne,Rather Be,"
We're a thousand miles from comfort
We have travelled land and sea
But as long as you are with me
There's no place I'd rather be
I would wait forever
Exulted in the scene
As long as I am with you
My heart continues to beat


With every step we take, Kyoto to The Bay
Strollin' so casually
We're different and the same, gave you another name
Switch up the batteries


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
Ooooh


We staked out on a mission to find our inner peace
Make it everlasting so nothing's incomplete
It's easy bein' with you, sacred simplicity
As long as we're together, there's no place I'd rather be


With every step we take, Kyoto to The Bay
Strollin' so casually
We're different and the same, gave you another name
Switch up the batteries


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
When I am with you, there's no place I'd rather be


Hmmmmmmmmmm, hoooooooooo
Be, be, be, be, be, be, be, be, be
Yeah-e-yeah-e-yeah-e-yeah-e-yeah, yeah, yeah


If you gave me a chance I would take it
It's a shot in the dark, but I'll make it
Know with all of your heart, you can't shake me
When I am with you, there's no place I'd rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
N-n-n-no, no, no, no place I rather be
When I am with you, there's no place I'd rather be"
4,5,2014,5,Sam Smith,Stay With Me,"
Guess it's true, I'm not good at a one-night stand
But I still need love 'cause I'm just a man
These nights never seem to go to plan
I don't want you to leave, will you hold my hand?


Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me


Why am I so emotional?
No, it's not a good look, gain some self-control
And deep down I know this never works
But you can lay with me so it doesn't hurt


Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me
Oooh, oooh
Oooh, oooh


Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me


Oh, won't you stay with me?
'Cause you're all I need
This ain't love, it's clear to see
But darling, stay with me"
5,6,2014,6,Pitbull & Ke$ha,Timber,"
It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
(It's going down)


The bigger they are, the harder they fall
This biggity boy's a diggity dog
I have ‘em like Miley Cyrus, clothes off
Twerking in their bras and thongs, timber
Face down, booty up, timber
That's the way we like the what, timber
I'm slicker than an oil spill
She say she won't, but I bet she will, timber


Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down


It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
It's going down (It's going down), I'm yelling timber
You better move (You better move), you better dance (You better dance)
Let's make a night you won't remember
I'll be the one you won't forget
(You won't forget)


Look up in the sky, it's a bird, it's a plane
Nah, it's just me, ain't a damn thing changed
Live in hotels, swing on planes
Blessed to say, money ain't a thing
Club jumping like Lebron, now Voli
Order me another round, homie
We about to climb, why, ‘cause it's about to go down


Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down
Swing your partner round and round
End of the night, it's going down
One more shot, another round
End of the night, it's going down


It's going down, I'm yelling timber
You better move, you better dance
Let's make a night you won't remember
I'll be the one you won't forget
It's going down (It's going down), I'm yelling timber
You better move, you better dance (You better dance)
Let's make a night (Let's make a night) you won't remember
I'll be the one (I'll be the one) you won't forget
(You won't forget)
Hey!
(It's going down)
Ho!
(It's going down)
Timber!
C'mon!
(It's going down) It's going down
Timber!
You won't forget
Timber"
6,7,2014,7,OneRepublic,Counting Stars,"
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Yeah, we'll be counting stars


I see this life, like a swinging vine
Swing my heart across the line
And in my face is flashing signs
Seek it out and ye' shall find
Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told


I-I-I-I feel something so right
Doing the wrong thing
I-I-I-I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that kills me makes me feel alive


Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars


I feel the love and I feel it burn
Down this river, every turn
Hope is our four-letter word
Make that money, watch it burn
Old, but I'm not that old
Young, but I'm not that bold
And I don't think the world is sold
On just doing what we're told


I-I-I-I feel something so wrong
Doing the right thing
I couldn't lie, couldn't lie, couldn't lie
Everything that drowns me makes me wanna fly


Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars


Take that money
Watch it burn
Sink in the river
The lessons I learned
Take that money
Watch it burn
Sink in the river
The lessons I learned
Take that money
Watch it burn
Sink in the river
The lessons I learned
Take that money
Watch it burn
Sink in the river
The lessons I learned


Everything that kills me
Makes me feel alive


Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be counting stars
Lately, I've been, I've been losing sleep
Dreaming about the things that we could be
But baby, I've been, I've been praying hard
Said no more counting dollars
We'll be, we'll be counting stars


Take that money
Watch it burn
Sink in the river
The lessons I've learned
Take that money
Watch it burn
Sink in the river
The lessons I've learned
Take that money
Watch it burn
Sink in the river
The lessons I've learned
Take that money
Watch it burn
Sink in the river
The lessons I've learned"
7,8,2014,8,Meghan Trainor,All About That Bass,"
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass


Yeah, it's pretty clear, I ain't no size two
But I can shake it, shake it, like I'm supposed to do
'Cause I got that boom boom that all the boys chase
And all the right junk in all the right places
I see the magazines working that Photoshop
We know that shit ain't real, come on now, make it stop
If you got beauty beauty just raise 'em up
'Cause every inch of you is perfect from the bottom to the top


Yeah, my momma she told me don't worry about your size
She says, boys like a little more booty to hold at night
(That booty, booty, uh, that booty booty)
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into then go ahead and move along


Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass


Hey, I'm bringing booty back
Go ahead and tell them skinny bitches that
No, I'm just playing I know you think you're fat
But I'm here to tell you
Every inch of you is perfect from the bottom to the top


Yeah, my momma she told me don't worry about your size
She says, boys like a little more booty to hold at night
(That booty, booty, uh, that booty booty)
You know I won't be no stick-figure, silicone Barbie doll
So, if that's what's you're into then go ahead and move along


Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass
Because you know I'm all about that bass
'Bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass, no treble
I'm all 'bout that bass, 'bout that bass

"
8,9,2014,9,Iggy Azalea & Charli XCX,Fancy,"
First things first, I'm the realest (Realest)
Drop this and let the whole world feel it (Let 'em feel it)
And I'm still in the Murda Bizness
I can hold you down, like I'm giving lessons in physics (Right, right?)
You should want a bad bitch like this (Huh?)
Drop it low and pick it up just like this (Yeah)
Cup of Ace, cup of Goose, cup of Cris
High heels, something worth a half a ticket on my wrist (On my wrist)
Taking all the liquor straight, never chase that (Never)
Rooftop like we bringing '88 back (What?)
Bring the hooks in, where the bass at?
Champagne spilling, you should taste that


I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh


I said baby, I do this, I thought that you knew this
Can't stand no haters, and honest, the truth is
That my flow retarded, each beat dear, departed
Swagger on stupid, I can't shop in no department
And get my money on time, if they got money, decline
And swear I meant that there so much that I give that line a rewind
Said I get my money on time, if they got money, decline
I just can't worry 'bout no haters, gotta stay on my grind
Now tell me, who that, who that? That do that, do that?
Put that paper over all, I thought you knew that, knew that
I be that I-G-G-Y, put my name in bold
I been working, I'm up in here with some change to throw


I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh


Trash the hotel, let's get drunk on the minibar
Make the phone call, feels so good getting what I want
Yeah, keep on turning it up
Chandelier swinging, we don't give a fuck
Film star, yeah, I’m deluxe
Classic, expensive, you don't get to touch, ow!


Still stunting, how you love that?
Got the whole world asking how I does that
Hot girl, hands off, don't touch that
Look at it, I bet you wishing you could clutch that
That's just the way you like it, huh?
It's so good, he just wishing he could bite it, huh?
Never turn down nothing
Slayin' these hoes, gold trigger on the gun like


I'm so fancy, you already know
I'm in the fast lane, from L.A. to Tokyo
I'm so fancy, can't you taste this gold?
Remember my name, 'bout to blow-oh-oh-oh


Who that, who that? I-G-G-Y
That do that, do that, I-G-G-Y
Who that, who that? I-G-G-Y
(Blow-oh-oh-oh)
Who that, who that? I-G-G-Y
That do that, do that, I-G-G-Y
Who that, who that? I-G-G-Y
(Blow-oh-oh-oh)"
9,10,2014,10,Magic!,Rude,"
Saturday mornin', jumped outta bed and put on my best suit
Got in my car and raced like a jet all the way to you
Knocked on your door with heart in my hand to ask you a question
'Cause I know that you're an old-fashioned man, yeah (yeah)


Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, but the answer is no!""


Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway (marry that girl)
Marry her anyway (marry that girl)
Yeah, no matter what you say (marry that girl)
And we'll be a family
Why you gotta be so rude?


I hate to do this, you leave no choice, can't live without her
Love me or hate me, we will be boys, standin' at that altar
Or we will run away to another galaxy, you know
You know she's in love with me, she will go anywhere I go


Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, cause the answer's still no!""


Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway (marry that girl)
Marry her anyway (marry that girl)
Yeah, no matter what you say (marry that girl)
And we'll be a family
Why you gotta be so rude? Yeah (so rude)


Can I have your daughter for the rest of my life?
Say yes, say yes 'cause I need to know
You say I'll never get your blessin' till the day I die
""Tough luck, my friend, but no still means no!""


Why you gotta be so rude?
Don't you know I'm human too?
Why you gotta be so rude?
I'm gonna marry her anyway (marry that girl)
Marry her anyway (marry that girl)
Yeah, no matter what you say (marry that girl)
And we'll be a family
Why you gotta be so rude?
Why, why, why, why? (Say)
Say, why you gotta be so rude?"
