,index,artist,Unnamed: 0,artist_id,year,unique_length,num,avg
0,0,21 Savage,1,1,2017,109,1,109.0
1,1,5 Seconds of Summer,9,6,6046,111,3,37.0
2,2,"6ix9ine, Nicki Minaj & Murda Beatz",5,3,2018,82,1,82.0
3,3,A Great Big World & Christina Aguilera,6,4,2014,13,1,13.0
4,4,Adam Lambert,7,5,2015,33,1,33.0
5,5,Adele,38,24,8063,115,4,28.75
6,6,Alan Walker,12,7,2016,25,1,25.0
7,7,Alessia Cara,42,24,6048,150,3,50.0
8,8,Aloe Blacc,16,9,2014,39,1,39.0
9,9,American Authors,17,10,2014,23,1,23.0
10,10,Andreas Bourani,18,11,2014,88,1,88.0
11,11,Andy Grammer,19,12,2015,18,1,18.0
12,12,Ariana Grande,188,104,16134,277,8,34.625
13,13,Ariana Grande & Iggy Azalea,28,14,2014,44,1,44.0
14,14,Ariana Grande & Nicki Minaj,59,30,4033,116,2,58.0
15,15,Ariana Grande & Zedd,31,16,2014,25,1,25.0
16,16,Avicii,134,68,8057,85,4,21.25
17,17,Axwell L Ingrosso,36,18,2017,23,1,23.0
18,18,Ayo & Teo,37,19,2017,58,1,58.0
19,19,Bastille,38,20,2014,20,1,20.0
20,20,Bazzi,39,21,2018,31,1,31.0
21,21,Bebe Rexha & Florida Georgia Line,40,22,2018,26,1,26.0
22,22,Becky G,41,23,2014,32,1,32.0
23,23,"Benny Blanco, Halsey & Khalid",42,24,2018,37,1,37.0
24,24,Beyonce,43,25,2015,43,1,43.0
25,25,Beyonce & Jay-Z,44,26,2014,99,1,99.0
26,26,Big Sean,45,27,2017,120,1,120.0
27,27,Big Sean & E-40,46,28,2015,245,1,245.0
28,28,BlocBoy JB & Drake,47,29,2018,87,1,87.0
29,29,Bobby Shmurda,48,30,2014,84,1,84.0
30,30,Brantley Gilbert,49,31,2014,43,1,43.0
31,31,Brett Young,50,32,2017,16,1,16.0
32,32,Bruno Mars,156,99,6050,174,3,58.0
33,33,Bruno Mars & Cardi B,54,34,2018,27,1,27.0
34,34,Bryson Tiller,111,70,4032,131,2,65.5
35,35,Burak Yeter & Danelle Sandoval,57,36,2017,22,1,22.0
36,36,Calvin Harris,117,74,4030,10,2,5.0
37,37,Calvin Harris & Disciples,60,38,2015,13,1,13.0
38,38,Calvin Harris & Dua Lipa,61,39,2018,19,1,19.0
39,39,Calvin Harris & Ellie Goulding,62,40,2015,10,1,10.0
40,40,Calvin Harris & John Newman,63,41,2014,14,1,14.0
41,41,Calvin Harris & Sam Smith,64,42,2018,26,1,26.0
42,42,"Calvin Harris, Frank Ocean & Migos",65,43,2017,76,1,76.0
43,43,"Calvin Harris, Pharrell Williams, Katy Perry & Big Sean",66,44,2017,67,1,67.0
44,44,Camila Cabello,67,45,2018,31,1,31.0
45,45,Camila Cabello & Young Thug,137,92,4035,98,2,49.0
46,46,Cardi B,141,94,4035,160,2,80.0
47,47,Cardi B & 21 Savage,72,48,2018,110,1,110.0
48,48,"Cardi B, Bad Bunny & J Balvin",73,49,2018,203,1,203.0
49,49,Carly Rae Jepsen,74,50,2015,25,1,25.0
50,50,Charli XCX,75,51,2014,21,1,21.0
51,51,Charlie Puth,231,156,6051,69,3,23.0
52,52,Charlie Puth & Meghan Trainor,79,53,2015,24,1,24.0
53,53,Charlie Puth & Selena Gomez,80,54,2016,22,1,22.0
54,54,Cheat Codes & Demi Lovato,81,55,2017,16,1,16.0
55,55,Childish Gambino,165,112,4035,87,2,43.5
56,56,Chris Brown & Lil' Wayne,84,57,2014,84,1,84.0
57,57,Chris Brown & Tyga,85,58,2015,87,1,87.0
58,58,Clean Bandit & Demi Lovato,86,59,2018,24,1,24.0
59,59,Clean Bandit & Jess Glynne,87,60,2014,29,1,29.0
60,60,Clean Bandit & Zara Larsson,88,61,2017,30,1,30.0
61,61,"Clean Bandit, Sean Paul & Anne-Marie",89,62,2017,72,1,72.0
62,62,Coldplay,366,252,8060,54,4,13.5
63,63,DJ Khaled & Drake,94,64,2016,56,1,56.0
64,64,"DJ Khaled, Justin Bieber, Quavo, Chance The Rapper & Lil' Wayne",191,130,4035,156,2,78.0
65,65,"DJ Khaled, Rihanna & Bryson Tiller",97,66,2017,69,1,69.0
66,66,DJ Snake & AlunaGeorge,98,67,2015,20,1,20.0
67,67,DJ Snake & Bipolar Sunshine,99,68,2016,29,1,29.0
68,68,DJ Snake & Justin Bieber,201,138,4033,50,2,25.0
69,69,DJ Snake & Lil' Jon,102,70,2014,1,1,1.0
70,70,"DJ Snake, Selena Gomez, Ozuna & Cardi B",103,71,2018,105,1,105.0
71,71,DNCE,104,72,2016,45,1,45.0
72,72,DRAM & Lil Yachty,105,73,2016,131,1,131.0
73,73,Daddy Yankee,106,74,2018,138,1,138.0
74,74,Dan & Shay,107,75,2018,34,1,34.0
75,75,David Guetta & Justin Bieber,108,76,2017,26,1,26.0
76,76,David Guetta & Sam Martin,330,231,6043,61,3,20.333333333333332
77,77,David Guetta & Sia,112,78,2018,15,1,15.0
78,78,David Guetta & Zara Larsson,113,79,2016,19,1,19.0
79,79,"David Guetta, Nicki Minaj & Afrojack",114,80,2015,51,1,51.0
80,80,Dean Lewis,115,81,2018,42,1,42.0
81,81,Demi Lovato,233,164,4032,54,2,27.0
82,82,Dennis Lloyd,118,83,2018,9,1,9.0
83,83,Desiigner,119,84,2016,105,1,105.0
84,84,Disclosure & Sam Smith,120,85,2014,20,1,20.0
85,85,Disturbed,121,86,2016,61,1,61.0
86,86,Drake,1134,783,18153,500,9,55.55555555555556
87,87,Drake & Future,131,88,2016,91,1,91.0
88,88,Drake & Majid Jordan,132,89,2014,6,1,6.0
89,89,Drake & The Throne,133,90,2016,65,1,65.0
90,90,"Drake, WizKid & Kyla",134,91,2016,30,1,30.0
91,91,Dua Lipa,408,276,6053,106,3,35.333333333333336
92,92,Dynoro & Gigi D'Agostino,138,93,2018,3,1,3.0
93,93,Echosmith,139,94,2014,22,1,22.0
94,94,Ed Sheeran,1746,1140,24190,538,12,44.833333333333336
95,95,El Profesor,152,96,2018,25,1,25.0
96,96,Ella Henderson,153,97,2014,34,1,34.0
97,97,Ella Mai,309,196,4036,53,2,26.5
98,98,Elle King,313,198,4031,66,2,33.0
99,99,Ellie Goulding,477,300,6044,67,3,22.333333333333332
100,100,Eminem & Ed Sheeran,161,101,2018,127,1,127.0
101,101,Enrique Iglesias,162,102,2014,87,1,87.0
102,102,Enrique Iglesias & Wisin,163,103,2016,82,1,82.0
103,103,Fall Out Boy,329,208,4030,62,2,31.0
104,104,Faul & Wad Ad vs. Pnau,166,105,2014,4,1,4.0
105,105,Feder & Lyse,167,106,2015,19,1,19.0
106,106,Felix Jaehn & Jasmine Thompson,168,107,2015,24,1,24.0
107,107,Fetty Wap,169,108,2015,82,1,82.0
108,108,Fetty Wap & Monty,170,109,2015,72,1,72.0
109,109,Fetty Wap & Remy Boyz,343,220,4031,160,2,80.0
110,110,Fifth Harmony & Fetty Wap,173,111,2016,39,1,39.0
111,111,Fifth Harmony & Kid Ink,174,112,2015,24,1,24.0
112,112,Fifth Harmony & Ty Dolla Sign,175,113,2016,40,1,40.0
113,113,Flo-Rida,176,114,2016,40,1,40.0
114,114,Flo-Rida & Sage The Gemini,177,115,2015,62,1,62.0
115,115,"Flo-Rida, Robin Thicke & Verdine White",178,116,2015,55,1,55.0
116,116,Florida Georgia Line,359,234,4030,94,2,47.0
117,117,Flume & Kai,181,118,2016,34,1,34.0
118,118,French Montana & Swae Lee,182,119,2017,51,1,51.0
119,119,Future,183,120,2017,95,1,95.0
120,120,Future & The Weeknd,184,121,2016,109,1,109.0
121,121,G-Eazy & ASAP Rocky & Cardi B,185,122,2018,96,1,96.0
122,122,G-Eazy & Bebe Rexha,186,123,2016,80,1,80.0
123,123,G-Eazy & Halsey,187,124,2018,77,1,77.0
124,124,Galantis,188,125,2016,9,1,9.0
125,125,George Ezra,570,378,6047,57,3,19.0
126,126,Gnash & Olivia O'Brien,192,127,2016,50,1,50.0
127,127,Hailee Steinfeld & Grey,193,128,2016,20,1,20.0
128,128,Halsey,585,387,6053,81,3,27.0
129,129,Harry Styles,197,130,2017,18,1,18.0
130,130,Helene Fischer,198,131,2014,103,1,103.0
131,131,Hozier,399,264,4029,120,2,60.0
